experiment,model,time_ms,a_audio,b_visual,R2
Exp2,attenuation,105.47,0.20870,0.09856,-0.00652
Exp2,attenuation,107.42,0.17850,0.10676,-0.03580
Exp2,attenuation,109.38,0.16290,0.13031,-0.04195
Exp2,attenuation,111.33,0.16076,0.16623,-0.02813
Exp2,attenuation,113.28,0.16829,0.20820,0.00009
Exp2,attenuation,115.23,0.18065,0.25014,0.03585
Exp2,attenuation,117.19,0.19409,0.28792,0.07282
Exp2,attenuation,119.14,0.20639,0.31830,0.10566
Exp2,attenuation,121.09,0.21682,0.33871,0.13053
Exp2,attenuation,123.05,0.22560,0.34867,0.14631
Exp2,attenuation,125.00,0.23345,0.35059,0.15494
Exp2,attenuation,126.95,0.24184,0.34797,0.15980
Exp2,attenuation,128.91,0.25287,0.34373,0.16398
Exp2,attenuation,130.86,0.26756,0.34019,0.16902
Exp2,attenuation,132.81,0.28401,0.33896,0.17444
Exp2,attenuation,134.77,0.29915,0.34046,0.17865
Exp2,attenuation,136.72,0.31063,0.34427,0.17993
Exp2,attenuation,138.67,0.31712,0.34972,0.17687
Exp2,attenuation,140.62,0.31785,0.35613,0.16842
Exp2,attenuation,142.58,0.31331,0.36268,0.15451
Exp2,attenuation,144.53,0.30588,0.36827,0.13619
Exp2,attenuation,146.48,0.29848,0.37139,0.11467
Exp2,attenuation,148.44,0.29350,0.37110,0.09098
Exp2,attenuation,150.39,0.29275,0.36745,0.06628
Exp2,attenuation,152.34,0.29763,0.36059,0.04182
Exp2,attenuation,154.30,0.30869,0.35052,0.01870
Exp2,attenuation,156.25,0.32514,0.33782,-0.00247
Exp2,attenuation,158.20,0.34512,0.32322,-0.02205
Exp2,attenuation,160.16,0.36659,0.30678,-0.04172
Exp2,attenuation,162.11,0.38786,0.28785,-0.06409
Exp2,attenuation,164.06,0.40817,0.26518,-0.09250
Exp2,attenuation,166.02,0.42786,0.23742,-0.13014
Exp2,attenuation,167.97,0.44802,0.20429,-0.17869
Exp2,attenuation,169.92,0.46962,0.16716,-0.23625
Exp2,attenuation,171.88,0.49285,0.12822,-0.29723
Exp2,attenuation,173.83,0.51711,0.08920,-0.35378
Exp2,attenuation,175.78,0.54150,0.05096,-0.39785
Exp2,attenuation,177.73,0.56543,0.01327,-0.42283
Exp2,attenuation,179.69,0.58872,-0.02476,-0.42462
Exp2,attenuation,181.64,0.61144,-0.06338,-0.40245
Exp2,attenuation,183.59,0.63345,-0.10183,-0.35961
Exp2,attenuation,185.55,0.65449,-0.13913,-0.30223
Exp2,attenuation,187.50,0.67441,-0.17418,-0.23718
Exp2,attenuation,189.45,0.69279,-0.20447,-0.17127
Exp2,attenuation,191.41,0.70850,-0.22567,-0.11064
Exp2,attenuation,193.36,0.72018,-0.23372,-0.05827
Exp2,attenuation,195.31,0.72683,-0.22686,-0.01418
Exp2,attenuation,197.27,0.72767,-0.20556,0.02284
Exp2,attenuation,199.22,0.72229,-0.17264,0.05457
Exp2,attenuation,201.17,0.71103,-0.13284,0.08368
Exp2,attenuation,203.12,0.69545,-0.09182,0.11351
Exp2,attenuation,205.08,0.67838,-0.05513,0.14692
Exp2,attenuation,207.03,0.66292,-0.02653,0.18504
Exp2,attenuation,208.98,0.65092,-0.00637,0.22686
Exp2,attenuation,210.94,0.64266,0.00758,0.27025
Exp2,attenuation,212.89,0.63742,0.01799,0.31292
Exp2,attenuation,214.84,0.63411,0.02663,0.35322
Exp2,attenuation,216.80,0.63146,0.03471,0.39035
Exp2,attenuation,218.75,0.62846,0.04273,0.42361
Exp2,attenuation,220.70,0.62471,0.05037,0.45205
Exp2,attenuation,222.66,0.62107,0.05713,0.47502
