experiment,model,subject,target_label,audio_label,visual_label,a_audio,b_visual,R2_full,R2_static,R2_audio,R2_visual
Exp1,attenuation,Vp1,VAO-MVA,AO-MA,VO-MV,0.17026,-0.02383,0.02589,-5.19685,0.02514,-0.02450
Exp1,attenuation,Vp2,VAO-MVA,AO-MA,VO-MV,0.84707,1.06067,0.78198,0.76955,0.65211,0.46105
Exp1,attenuation,Vp4,VAO-MVA,AO-MA,VO-MV,0.59505,0.63549,-0.02366,-0.76177,-0.64867,-0.62894
Exp1,attenuation,Vp5,VAO-MVA,AO-MA,VO-MV,0.17915,0.68721,0.41951,-1.14158,0.20121,0.39997
Exp1,attenuation,Vp6,VAO-MVA,AO-MA,VO-MV,0.92605,-0.37331,0.67299,0.10835,0.64823,0.08917
Exp1,attenuation,Vp7,VAO-MVA,AO-MA,VO-MV,0.72728,0.53894,0.47516,0.30276,0.31330,-0.05923
Exp1,attenuation,Vp8,VAO-MVA,AO-MA,VO-MV,0.20383,-0.36877,-0.46865,-17.68824,-0.79727,-0.50394
Exp1,attenuation,Vp10,VAO-MVA,AO-MA,VO-MV,0.55466,-0.14926,0.15643,-3.20883,0.13275,-0.00990
Exp1,attenuation,Vp11,VAO-MVA,AO-MA,VO-MV,0.89325,-0.21796,0.39697,-2.64702,0.32357,-0.15967
Exp1,attenuation,Vp12,VAO-MVA,AO-MA,VO-MV,0.89753,0.14624,0.49307,-0.76944,0.45709,0.05629
Exp1,attenuation,Vp13,VAO-MVA,AO-MA,VO-MV,0.49521,0.68279,0.63198,0.18480,0.51012,0.37453
Exp1,attenuation,Vp14,VAO-MVA,AO-MA,VO-MV,0.33313,0.14131,0.15867,-1.31066,0.11999,-0.00055
Exp1,attenuation,Vp15,VAO-MVA,AO-MA,VO-MV,-0.04668,-0.00783,-0.01829,-3.90677,-0.01850,-0.01921
Exp1,attenuation,Vp16,VAO-MVA,AO-MA,VO-MV,0.90505,0.14821,0.36348,-0.74670,0.34518,-0.35915
Exp1,attenuation,Vp17,VAO-MVA,AO-MA,VO-MV,0.54799,-0.10792,0.27447,-2.50498,0.26141,0.00244
Exp1,attenuation,Vp18,VAO-MVA,AO-MA,VO-MV,0.61446,0.15968,0.34902,-0.37763,0.33848,-0.17888
Exp1,attenuation,Vp19,VAO-MVA,AO-MA,VO-MV,2.05649,0.11565,0.38345,-0.03046,0.37917,-0.11173
Exp1,attenuation,Vp20,VAO-MVA,AO-MA,VO-MV,0.94824,-0.15909,0.48649,0.02503,0.47840,-0.27961
Exp1,attenuation,Vp22,VAO-MVA,AO-MA,VO-MV,1.26661,0.02111,0.52418,-0.04279,0.52392,-0.02914
Exp1,attenuation,Vp23,VAO-MVA,AO-MA,VO-MV,0.87608,0.59502,0.76833,0.66437,0.63499,0.28124
Exp1,attenuation,Vp24,VAO-MVA,AO-MA,VO-MV,0.36542,0.00471,0.19392,-2.07356,0.19389,-0.00016
Exp1,attenuation,Vp25,VAO-MVA,AO-MA,VO-MV,-0.13209,0.30393,0.03920,-4.49903,-0.05003,0.02661
Exp1,attenuation,Vp26,VAO-MVA,AO-MA,VO-MV,0.58199,0.93317,0.73582,0.55467,0.61403,0.50701
