experiment,model,time_ms,a_audio,b_visual,R2
Exp1,attenuation,-99.61,0.51676,0.47356,0.34270
Exp1,attenuation,-97.66,0.46678,0.47324,0.31252
Exp1,attenuation,-95.70,0.39769,0.43055,0.25849
Exp1,attenuation,-93.75,0.33122,0.33771,0.19384
Exp1,attenuation,-91.80,0.28875,0.20359,0.14336
Exp1,attenuation,-89.84,0.27505,0.05717,0.12392
Exp1,attenuation,-87.89,0.27596,-0.06571,0.13381
Exp1,attenuation,-85.94,0.27278,-0.14065,0.15979
Exp1,attenuation,-83.98,0.25692,-0.16153,0.18757
Exp1,attenuation,-82.03,0.23104,-0.13782,0.20524
Exp1,attenuation,-80.08,0.20247,-0.08684,0.20072
Exp1,attenuation,-78.12,0.17837,-0.02673,0.16450
Exp1,attenuation,-76.17,0.16510,0.02775,0.11734
Exp1,attenuation,-74.22,0.16956,0.07042,0.08986
Exp1,attenuation,-72.27,0.19983,0.10564,0.08546
Exp1,attenuation,-70.31,0.26030,0.13974,0.09939
Exp1,attenuation,-68.36,0.33188,0.17455,0.12464
Exp1,attenuation,-66.41,0.35255,0.21654,0.15033
Exp1,attenuation,-64.45,0.27688,0.27566,0.17326
Exp1,attenuation,-62.50,0.15169,0.34408,0.20184
Exp1,attenuation,-60.55,0.04222,0.40582,0.24105
Exp1,attenuation,-58.59,-0.02649,0.45417,0.28889
Exp1,attenuation,-56.64,-0.05155,0.49032,0.33943
Exp1,attenuation,-54.69,-0.03792,0.52013,0.38284
Exp1,attenuation,-52.73,0.00356,0.55110,0.40853
Exp1,attenuation,-50.78,0.05776,0.58764,0.41571
Exp1,attenuation,-48.83,0.11123,0.62557,0.41392
Exp1,attenuation,-46.88,0.15751,0.65021,0.40974
Exp1,attenuation,-44.92,0.19933,0.64190,0.40146
Exp1,attenuation,-42.97,0.24603,0.58945,0.38842
Exp1,attenuation,-41.02,0.30643,0.49841,0.37718
Exp1,attenuation,-39.06,0.38396,0.38286,0.37535
Exp1,attenuation,-37.11,0.47194,0.25978,0.38447
Exp1,attenuation,-35.16,0.54691,0.15602,0.39573
Exp1,attenuation,-33.20,0.57768,0.09891,0.39136
Exp1,attenuation,-31.25,0.55177,0.09107,0.35961
Exp1,attenuation,-29.30,0.48334,0.11066,0.30449
Exp1,attenuation,-27.34,0.39352,0.13646,0.23784
Exp1,attenuation,-25.39,0.29824,0.15979,0.17156
Exp1,attenuation,-23.44,0.20889,0.17961,0.11637
Exp1,attenuation,-21.48,0.13423,0.19536,0.07968
Exp1,attenuation,-19.53,0.08158,0.20438,0.06020
Exp1,attenuation,-17.58,0.05797,0.20349,0.05037
Exp1,attenuation,-15.62,0.06875,0.19173,0.04850
Exp1,attenuation,-13.67,0.11201,0.17203,0.05984
Exp1,attenuation,-11.72,0.17671,0.14961,0.08473
Exp1,attenuation,-9.77,0.24842,0.12665,0.11633
Exp1,attenuation,-7.81,0.31671,0.09902,0.14747
Exp1,attenuation,-5.86,0.37858,0.05804,0.17467
Exp1,attenuation,-3.91,0.43703,-0.00573,0.19980
Exp1,attenuation,-1.95,0.49539,-0.09795,0.23053
Exp1,attenuation,0.00,0.54985,-0.21346,0.27491
Exp1,attenuation,1.95,0.59238,-0.33750,0.33273
Exp1,attenuation,3.91,0.62001,-0.45562,0.39536
Exp1,attenuation,5.86,0.63675,-0.55917,0.45409
Exp1,attenuation,7.81,0.64912,-0.64277,0.50370
Exp1,attenuation,9.77,0.66411,-0.70180,0.54113
Exp1,attenuation,11.72,0.68867,-0.73412,0.56485
Exp1,attenuation,13.67,0.72788,-0.74310,0.57563
Exp1,attenuation,15.62,0.78239,-0.73643,0.57637
Exp1,attenuation,17.58,0.84830,-0.72246,0.57062
Exp1,attenuation,19.53,0.91918,-0.70856,0.56118
Exp1,attenuation,21.48,0.98814,-0.70130,0.54928
Exp1,attenuation,23.44,1.04858,-0.70463,0.53425
Exp1,attenuation,25.39,1.09250,-0.71629,0.51369
Exp1,attenuation,27.34,1.10635,-0.72409,0.48353
Exp1,attenuation,29.30,1.06896,-0.70532,0.43855
Exp1,attenuation,31.25,0.96751,-0.63904,0.37759
Exp1,attenuation,33.20,0.82168,-0.52809,0.30948
Exp1,attenuation,35.16,0.67187,-0.39849,0.24716
Exp1,attenuation,37.11,0.54476,-0.27547,0.19693
Exp1,attenuation,39.06,0.44421,-0.17024,0.15778
Exp1,attenuation,41.02,0.36368,-0.08381,0.12701
Exp1,attenuation,42.97,0.29765,-0.01569,0.10318
Exp1,attenuation,44.92,0.24579,0.03072,0.08529
Exp1,attenuation,46.88,0.21177,0.04952,0.07188
Exp1,attenuation,48.83,0.19937,0.03742,0.06209
Exp1,attenuation,50.78,0.20836,-0.00156,0.05673
Exp1,attenuation,52.73,0.23269,-0.05463,0.05697
Exp1,attenuation,54.69,0.26214,-0.10335,0.06130
Exp1,attenuation,56.64,0.28598,-0.13123,0.06512
Exp1,attenuation,58.59,0.29668,-0.13258,0.06422
Exp1,attenuation,60.55,0.29104,-0.11320,0.05709
Exp1,attenuation,62.50,0.26918,-0.08278,0.04444
Exp1,attenuation,64.45,0.23475,-0.04866,0.02852
Exp1,attenuation,66.41,0.19627,-0.01544,0.01306
Exp1,attenuation,68.36,0.16497,0.01398,0.00244
Exp1,attenuation,70.31,0.14872,0.03879,0.00017
Exp1,attenuation,72.27,0.14823,0.05972,0.00734
Exp1,attenuation,74.22,0.16000,0.07702,0.02207
Exp1,attenuation,76.17,0.18029,0.09069,0.04102
Exp1,attenuation,78.12,0.20619,0.10157,0.06134
Exp1,attenuation,80.08,0.23376,0.11166,0.08083
Exp1,attenuation,82.03,0.25779,0.12359,0.09771
Exp1,attenuation,83.98,0.27292,0.14050,0.11139
Exp1,attenuation,85.94,0.27519,0.16514,0.12345
Exp1,attenuation,87.89,0.26313,0.19806,0.13715
Exp1,attenuation,89.84,0.23842,0.23667,0.15504
Exp1,attenuation,91.80,0.20652,0.27554,0.17678
Exp1,attenuation,93.75,0.17522,0.30804,0.19901
Exp1,attenuation,95.70,0.15201,0.32904,0.21788
Exp1,attenuation,97.66,0.14194,0.33697,0.23151
Exp1,attenuation,99.61,0.14626,0.33406,0.24048
Exp1,attenuation,101.56,0.16311,0.32436,0.24646
Exp1,attenuation,103.52,0.18886,0.31206,0.25051
Exp1,attenuation,105.47,0.21950,0.30081,0.25229
Exp1,attenuation,107.42,0.25063,0.29349,0.25018
Exp1,attenuation,109.38,0.27705,0.29192,0.24219
Exp1,attenuation,111.33,0.29342,0.29671,0.22745
Exp1,attenuation,113.28,0.29596,0.30740,0.20745
Exp1,attenuation,115.23,0.28326,0.32305,0.18548
Exp1,attenuation,117.19,0.25618,0.34249,0.16496
Exp1,attenuation,119.14,0.21755,0.36366,0.14821
Exp1,attenuation,121.09,0.17238,0.38346,0.13626
Exp1,attenuation,123.05,0.12783,0.39858,0.12936
Exp1,attenuation,125.00,0.09272,0.40561,0.12712
Exp1,attenuation,126.95,0.07553,0.40102,0.12811
Exp1,attenuation,128.91,0.08221,0.38182,0.13013
Exp1,attenuation,130.86,0.11328,0.34793,0.13266
Exp1,attenuation,132.81,0.16441,0.30392,0.13884
Exp1,attenuation,134.77,0.22985,0.25788,0.15395
Exp1,attenuation,136.72,0.30481,0.21766,0.18145
Exp1,attenuation,138.67,0.38566,0.18698,0.22076
Exp1,attenuation,140.62,0.46953,0.16428,0.26785
Exp1,attenuation,142.58,0.55444,0.14498,0.31756
Exp1,attenuation,144.53,0.63897,0.12495,0.36537
Exp1,attenuation,146.48,0.72136,0.10278,0.40810
Exp1,attenuation,148.44,0.79920,0.08017,0.44411
Exp1,attenuation,150.39,0.86989,0.06040,0.47234
Exp1,attenuation,152.34,0.93108,0.04623,0.49140
Exp1,attenuation,154.30,0.98070,0.03928,0.49987
Exp1,attenuation,156.25,1.01718,0.04030,0.49728
Exp1,attenuation,158.20,1.04005,0.04834,0.48433
Exp1,attenuation,160.16,1.05087,0.06005,0.46234
Exp1,attenuation,162.11,1.05273,0.07082,0.43241
Exp1,attenuation,164.06,1.04893,0.07703,0.39553
Exp1,attenuation,166.02,1.04163,0.07672,0.35331
Exp1,attenuation,167.97,1.03149,0.06922,0.30895
Exp1,attenuation,169.92,1.01858,0.05478,0.26734
Exp1,attenuation,171.88,1.00304,0.03484,0.23329
Exp1,attenuation,173.83,0.98488,0.01234,0.20939
Exp1,attenuation,175.78,0.96367,-0.00823,0.19591
Exp1,attenuation,177.73,0.93882,-0.02236,0.19135
Exp1,attenuation,179.69,0.91054,-0.02689,0.19368
