experiment,model,channel,target_label,audio_label,visual_label,a_audio,a_sem,b_visual,b_sem,R2,audio_minus_visual
Exp2,attenuation,Fp1,VAO-MVA,AO-MA,VO-MV,0.49812,0.11534,0.48042,0.12599,0.51409,0.01770
Exp2,attenuation,AF3,VAO-MVA,AO-MA,VO-MV,0.44650,0.08353,0.44414,0.11411,0.51623,0.00236
Exp2,attenuation,F7,VAO-MVA,AO-MA,VO-MV,0.36365,0.07928,0.43288,0.09853,0.34195,-0.06924
Exp2,attenuation,F3,VAO-MVA,AO-MA,VO-MV,0.41662,0.07146,0.36511,0.09240,0.37686,0.05151
Exp2,attenuation,FC1,VAO-MVA,AO-MA,VO-MV,0.51763,0.06967,0.28874,0.06816,0.42112,0.22888
Exp2,attenuation,FC5,VAO-MVA,AO-MA,VO-MV,0.44394,0.08396,0.19209,0.06596,0.25975,0.25185
Exp2,attenuation,T7,VAO-MVA,AO-MA,VO-MV,0.32820,0.07367,0.28598,0.06609,0.19693,0.04222
Exp2,attenuation,C3,VAO-MVA,AO-MA,VO-MV,0.35786,0.06887,0.22932,0.05036,0.23465,0.12854
Exp2,attenuation,CP1,VAO-MVA,AO-MA,VO-MV,0.34081,0.06761,0.34559,0.09066,0.28263,-0.00478
Exp2,attenuation,CP5,VAO-MVA,AO-MA,VO-MV,0.36872,0.07630,0.29079,0.06871,0.20447,0.07794
Exp2,attenuation,P7,VAO-MVA,AO-MA,VO-MV,0.47440,0.07522,0.38613,0.08763,0.23988,0.08827
Exp2,attenuation,P3,VAO-MVA,AO-MA,VO-MV,0.40976,0.07754,0.29224,0.09354,0.22788,0.11751
Exp2,attenuation,Pz,VAO-MVA,AO-MA,VO-MV,0.38719,0.07386,0.23779,0.08716,0.28972,0.14940
Exp2,attenuation,PO3,VAO-MVA,AO-MA,VO-MV,0.35250,0.07204,0.27684,0.07826,0.18132,0.07566
Exp2,attenuation,O1,VAO-MVA,AO-MA,VO-MV,0.44967,0.06360,0.28403,0.08077,0.23802,0.16564
Exp2,attenuation,Oz,VAO-MVA,AO-MA,VO-MV,0.34396,0.06044,0.27418,0.07199,0.23489,0.06978
Exp2,attenuation,O2,VAO-MVA,AO-MA,VO-MV,0.35369,0.05375,0.31387,0.06877,0.24674,0.03983
Exp2,attenuation,PO4,VAO-MVA,AO-MA,VO-MV,0.44734,0.05652,0.23721,0.09457,0.28518,0.21013
Exp2,attenuation,P4,VAO-MVA,AO-MA,VO-MV,0.42991,0.07170,0.22451,0.07729,0.23457,0.20541
Exp2,attenuation,P8,VAO-MVA,AO-MA,VO-MV,0.48672,0.06437,0.36979,0.07191,0.27907,0.11693
Exp2,attenuation,CP6,VAO-MVA,AO-MA,VO-MV,0.49583,0.05307,0.24082,0.06334,0.28715,0.25501
Exp2,attenuation,CP2,VAO-MVA,AO-MA,VO-MV,0.36221,0.06767,0.34018,0.08428,0.26983,0.02203
Exp2,attenuation,C4,VAO-MVA,AO-MA,VO-MV,0.39709,0.07895,0.25376,0.09930,0.25558,0.14333
Exp2,attenuation,T8,VAO-MVA,AO-MA,VO-MV,0.38705,0.05986,0.36424,0.09781,0.26665,0.02281
Exp2,attenuation,FC6,VAO-MVA,AO-MA,VO-MV,0.39708,0.07924,0.30859,0.05972,0.31675,0.08849
Exp2,attenuation,FC2,VAO-MVA,AO-MA,VO-MV,0.55262,0.07398,0.32805,0.07292,0.39163,0.22458
Exp2,attenuation,F4,VAO-MVA,AO-MA,VO-MV,0.48823,0.06864,0.45635,0.07611,0.38370,0.03188
Exp2,attenuation,F8,VAO-MVA,AO-MA,VO-MV,0.29882,0.07275,0.44581,0.07043,0.35005,-0.14699
Exp2,attenuation,AF4,VAO-MVA,AO-MA,VO-MV,0.50378,0.08285,0.47805,0.09560,0.47609,0.02573
Exp2,attenuation,Fp2,VAO-MVA,AO-MA,VO-MV,0.46210,0.11326,0.46036,0.11865,0.52948,0.00174
Exp2,attenuation,Fz,VAO-MVA,AO-MA,VO-MV,0.54416,0.07443,0.37653,0.09252,0.48151,0.16763
Exp2,attenuation,Cz,VAO-MVA,AO-MA,VO-MV,0.50285,0.05469,0.28004,0.10685,0.33298,0.22282
