experiment,subject,a_audio,b_visual,R2_full,R2_static,R2_audio,R2_visual
Exp2,Vp1,0.58214,0.76578,0.81449,0.51815,-0.37864,0.57084
Exp2,Vp2,0.30728,1.25809,0.48342,0.40406,-0.64110,0.47113
Exp2,Vp3,0.83413,1.04124,0.88810,0.88552,0.42166,0.82778
Exp2,Vp4,0.73184,0.95542,0.75907,0.74885,-0.31832,0.70051
Exp2,Vp6,0.50495,0.93898,0.46154,0.34749,-1.00692,0.37409
Exp2,Vp7,1.07135,0.37217,-0.16175,-0.35988,-0.22570,-0.46495
Exp2,Vp8,0.42980,0.98455,0.88463,0.81206,-0.73400,0.85408
Exp2,Vp9,0.18035,0.81924,0.88709,0.77533,-0.25895,0.88182
Exp2,Vp10,0.49041,1.06789,0.32990,0.26225,-0.88164,0.26749
Exp2,Vp12,0.56082,0.86002,0.90318,0.83484,-1.62385,0.88600
Exp2,Vp13,-0.36676,1.01881,0.89407,0.62776,-0.43250,0.88228
Exp2,Vp14,0.45554,0.46348,0.51651,-0.94605,-0.47711,0.45436
Exp2,Vp17,0.61840,1.03807,0.89913,0.83292,0.30736,0.78331
Exp2,Vp20,0.74542,1.01212,0.53384,0.49858,-0.55823,0.29104
Exp2,Vp21,0.59835,1.17354,0.84116,0.72100,-1.46001,0.78498
Exp2,Vp23,0.88208,1.21702,0.90600,0.85030,-0.82944,0.79967
Exp2,Vp24,0.83064,0.67842,0.46660,0.27423,-0.08159,0.25908
Exp2,Vp25,0.56629,0.78737,0.56769,0.40573,0.01021,0.47114
Exp2,Vp26,0.23306,0.77688,0.81889,0.67612,-0.55835,0.81225
Exp2,Vp27,0.58867,0.96996,0.94901,0.91775,-0.52578,0.90859
Exp2,Vp28,0.36873,0.57945,0.53737,-0.25569,-0.47911,0.50746
Exp2,Vp29,0.37555,0.77544,0.91829,0.46211,0.03410,0.89772
Exp2,Vp30,0.99424,0.79121,0.73372,0.67880,0.26490,0.49110
Exp2,Vp31,0.20127,0.85540,0.78771,-0.03665,0.22201,0.77571
Exp2,Vp32,-0.01663,0.87355,0.60450,0.28456,-0.86719,0.60441
Exp2,Vp33,0.51590,1.43862,0.72904,0.52124,-0.52986,0.66116
Exp2,Vp34,0.40783,0.96936,0.83846,0.72817,-0.91640,0.79886
Exp2,Vp35,1.23426,0.90982,0.91838,0.90120,-0.37952,0.65954
Exp2,Vp36,0.94974,0.59129,0.80383,-0.04191,-0.94458,0.39207
Exp2,Vp38,1.79474,1.21952,0.37865,0.22465,-0.11634,-0.00930
