experiment,model,time_ms,a_audio,b_visual,R2
Exp1,replay,113.28,0.60925,0.05060,0.29075
Exp1,replay,115.23,0.59658,0.07703,0.34692
Exp1,replay,117.19,0.59613,0.10080,0.39281
Exp1,replay,119.14,0.60925,0.12000,0.43100
Exp1,replay,121.09,0.63350,0.13563,0.46386
Exp1,replay,123.05,0.66486,0.15049,0.49255
Exp1,replay,125.00,0.69902,0.16822,0.51733
Exp1,replay,126.95,0.73254,0.19176,0.53841
Exp1,replay,128.91,0.76388,0.22163,0.55668
Exp1,replay,130.86,0.79331,0.25568,0.57325
Exp1,replay,132.81,0.82203,0.29069,0.58870
Exp1,replay,134.77,0.85097,0.32422,0.60229
Exp1,replay,136.72,0.88035,0.35546,0.61201
Exp1,replay,138.67,0.90983,0.38531,0.61553
Exp1,replay,140.62,0.93906,0.41559,0.61088
Exp1,replay,142.58,0.96818,0.44756,0.59704
Exp1,replay,144.53,0.99794,0.48093,0.57433
Exp1,replay,146.48,1.02974,0.51289,0.54465
Exp1,replay,148.44,1.06518,0.53822,0.51117
Exp1,replay,150.39,1.10539,0.55027,0.47747
Exp1,replay,152.34,1.15019,0.54342,0.44638
Exp1,replay,154.30,1.19757,0.51456,0.41791
Exp1,replay,156.25,1.24319,0.46208,0.38813
Exp1,replay,158.20,1.27977,0.38341,0.35089
Exp1,replay,160.16,1.29729,0.27569,0.30174
Exp1,replay,162.11,1.28478,0.14087,0.24141
Exp1,replay,164.06,1.23496,-0.00990,0.17788
Exp1,replay,166.02,1.15008,-0.15724,0.12519
Exp1,replay,167.97,1.04451,-0.28043,0.09740
Exp1,replay,169.92,0.93918,-0.36657,0.10063
Exp1,replay,171.88,0.85099,-0.41263,0.13003
Exp1,replay,173.83,0.78616,-0.42013,0.17445
Exp1,replay,175.78,0.74191,-0.39116,0.22348
Exp1,replay,177.73,0.71241,-0.32872,0.27116
Exp1,replay,179.69,0.69320,-0.23885,0.31554
Exp1,replay,181.64,0.68243,-0.13127,0.35681
Exp1,replay,183.59,0.68022,-0.01886,0.39580
Exp1,replay,185.55,0.68694,0.08682,0.43342
Exp1,replay,187.50,0.70168,0.17989,0.47060
Exp1,replay,189.45,0.72207,0.26061,0.50815
Exp1,replay,191.41,0.74543,0.33209,0.54660
Exp1,replay,193.36,0.76979,0.39696,0.58598
Exp1,replay,195.31,0.79391,0.45669,0.62579
Exp1,replay,197.27,0.81704,0.51199,0.66520
Exp1,replay,199.22,0.83884,0.56308,0.70332
Exp1,replay,201.17,0.85951,0.60966,0.73928
Exp1,replay,203.12,0.87962,0.65156,0.77243
Exp1,replay,205.08,0.89984,0.68879,0.80231
Exp1,replay,207.03,0.92082,0.72103,0.82855
Exp1,replay,208.98,0.94295,0.74755,0.85081
Exp1,replay,210.94,0.96619,0.76791,0.86908
Exp1,replay,212.89,0.99014,0.78227,0.88387
Exp1,replay,214.84,1.01432,0.79080,0.89601
Exp1,replay,216.80,1.03863,0.79273,0.90601
Exp1,replay,218.75,1.06320,0.78680,0.91372
Exp1,replay,220.70,1.08786,0.77325,0.91837
Exp1,replay,222.66,1.11175,0.75477,0.91895
Exp1,replay,224.61,1.13392,0.73508,0.91427
Exp1,replay,226.56,1.15408,0.71674,0.90323
Exp1,replay,228.52,1.17274,0.70076,0.88547
Exp1,replay,230.47,1.19064,0.68780,0.86177
Exp1,replay,232.42,1.20803,0.67952,0.83400
Exp1,replay,234.38,1.22442,0.67869,0.80474
Exp1,replay,236.33,1.23875,0.68828,0.77659
Exp1,replay,238.28,1.24970,0.71043,0.75099
Exp1,replay,240.23,1.25616,0.74569,0.72804
Exp1,replay,242.19,1.25781,0.79263,0.70707
Exp1,replay,244.14,1.25542,0.84786,0.68733
Exp1,replay,246.09,1.25045,0.90685,0.66846
Exp1,replay,248.05,1.24437,0.96526,0.65039
Exp1,replay,250.00,1.23794,1.02057,0.63312
Exp1,replay,251.95,1.23127,1.07266,0.61675
Exp1,replay,253.91,1.22440,1.12329,0.60182
Exp1,replay,255.86,1.21744,1.17491,0.58916
Exp1,replay,257.81,1.21071,1.22895,0.57943
Exp1,replay,259.77,1.20477,1.28456,0.57264
Exp1,replay,261.72,1.20027,1.33885,0.56807
Exp1,replay,263.67,1.19774,1.38751,0.56489
Exp1,replay,265.62,1.19755,1.42662,0.56289
Exp1,replay,267.58,1.19962,1.45444,0.56206
Exp1,replay,269.53,1.20326,1.47262,0.56184
Exp1,replay,271.48,1.20763,1.48535,0.56092
Exp1,replay,273.44,1.21253,1.49703,0.55792
Exp1,replay,275.39,1.21872,1.50971,0.55203
Exp1,replay,277.34,1.22788,1.52184,0.54308
Exp1,replay,279.30,1.24184,1.52992,0.53121
Exp1,replay,281.25,1.26169,1.53137,0.51643
Exp1,replay,283.20,1.28768,1.52506,0.49840
Exp1,replay,285.16,1.31920,1.51079,0.47607
Exp1,replay,287.11,1.35429,1.48861,0.44774
Exp1,replay,289.06,1.38971,1.45793,0.41143
Exp1,replay,291.02,1.42150,1.41756,0.36593
Exp1,replay,292.97,1.44575,1.36649,0.31149
Exp1,replay,294.92,1.45950,1.30602,0.25038
Exp1,replay,296.88,1.46121,1.24176,0.18678
Exp1,replay,298.83,1.45083,1.18293,0.12564
Exp1,replay,300.78,1.43014,1.13710,0.07047
Exp1,replay,302.73,1.40286,1.10598,0.02249
Exp1,replay,304.69,1.37342,1.08654,-0.01834
Exp1,replay,306.64,1.34488,1.07489,-0.05229
Exp1,replay,308.59,1.31768,1.06917,-0.07944
Exp1,replay,310.55,1.29070,1.06841,-0.09968
Exp1,replay,312.50,1.26285,1.07163,-0.11232
Exp1,replay,314.45,1.23349,1.07761,-0.11631
Exp1,replay,316.41,1.20183,1.08646,-0.11069
Exp1,replay,318.36,1.16738,1.09930,-0.09522
Exp1,replay,320.31,1.12935,1.11801,-0.07137
Exp1,replay,322.27,1.08666,1.14453,-0.04184
Exp1,replay,324.22,1.03888,1.17976,-0.00987
Exp1,replay,326.17,0.98739,1.22181,0.02109
Exp1,replay,328.12,0.93476,1.26485,0.04650
Exp1,replay,330.08,0.88219,1.29968,0.06036
Exp1,replay,332.03,0.82770,1.31602,0.05678
Exp1,replay,333.98,0.76656,1.30684,0.03379
Exp1,replay,335.94,0.69533,1.27160,-0.00372
Exp1,replay,337.89,0.61523,1.21610,-0.04513
Exp1,replay,339.84,0.53299,1.14908,-0.07880
Exp1,replay,341.80,0.45796,1.07895,-0.09668
Exp1,replay,343.75,0.39807,1.01037,-0.09770
Exp1,replay,345.70,0.35666,0.94318,-0.08711
Exp1,replay,347.66,0.33223,0.87433,-0.07221
Exp1,replay,349.61,0.32055,0.80050,-0.05818
Exp1,replay,351.56,0.31725,0.72022,-0.04612
Exp1,replay,353.52,0.31937,0.63595,-0.03304
Exp1,replay,355.47,0.32583,0.55427,-0.01386
Exp1,replay,357.42,0.33673,0.48304,0.01504
Exp1,replay,359.38,0.35238,0.42796,0.05402
Exp1,replay,361.33,0.37249,0.39054,0.10048
Exp1,replay,363.28,0.39601,0.36849,0.15049
Exp1,replay,365.23,0.42147,0.35750,0.20021
Exp1,replay,367.19,0.44750,0.35363,0.24693
Exp1,replay,369.14,0.47293,0.35444,0.28921
Exp1,replay,371.09,0.49702,0.35881,0.32677
Exp1,replay,373.05,0.51940,0.36599,0.36027
Exp1,replay,375.00,0.54008,0.37478,0.39080
Exp1,replay,376.95,0.55923,0.38290,0.41912
Exp1,replay,378.91,0.57705,0.38730,0.44536
Exp1,replay,380.86,0.59364,0.38502,0.46925
Exp1,replay,382.81,0.60895,0.37397,0.49060
Exp1,replay,384.77,0.62269,0.35370,0.50928
Exp1,replay,386.72,0.63433,0.32608,0.52504
Exp1,replay,388.67,0.64320,0.29500,0.53744
Exp1,replay,390.62,0.64862,0.26493,0.54627
Exp1,replay,392.58,0.65013,0.23898,0.55169
Exp1,replay,394.53,0.64797,0.21818,0.55435
Exp1,replay,396.48,0.64324,0.20178,0.55520
Exp1,replay,398.44,0.63749,0.18839,0.55489
Exp1,replay,400.39,0.63196,0.17691,0.55354
Exp1,replay,402.34,0.62717,0.16732,0.55085
Exp1,replay,404.30,0.62287,0.16069,0.54617
Exp1,replay,406.25,0.61822,0.15849,0.53852
Exp1,replay,408.20,0.61215,0.16224,0.52699
Exp1,replay,410.16,0.60375,0.17291,0.51141
Exp1,replay,412.11,0.59238,0.19016,0.49230
Exp1,replay,414.06,0.57748,0.21179,0.46985
Exp1,replay,416.02,0.55844,0.23413,0.44337
Exp1,replay,417.97,0.53519,0.25339,0.41208
Exp1,replay,419.92,0.50853,0.26688,0.37625
Exp1,replay,421.88,0.47989,0.27345,0.33728
Exp1,replay,423.83,0.45068,0.27346,0.29695
Exp1,replay,425.78,0.42204,0.26911,0.25710
Exp1,replay,427.73,0.39440,0.26426,0.21944
Exp1,replay,429.69,0.36767,0.26255,0.18533
Exp1,replay,431.64,0.34158,0.26488,0.15532
Exp1,replay,433.59,0.31651,0.26877,0.12945
Exp1,replay,435.55,0.29371,0.26984,0.10729
Exp1,replay,437.50,0.27461,0.26444,0.08803
Exp1,replay,439.45,0.25999,0.25102,0.07083
Exp1,replay,441.41,0.24993,0.22978,0.05526
Exp1,replay,443.36,0.24412,0.20277,0.04209
Exp1,replay,445.31,0.24252,0.17339,0.03305
Exp1,replay,447.27,0.24562,0.14471,0.02941
Exp1,replay,449.22,0.25426,0.11788,0.03104
Exp1,replay,451.17,0.26867,0.09214,0.03642
Exp1,replay,453.12,0.28763,0.06592,0.04347
Exp1,replay,455.08,0.30854,0.03871,0.05046
Exp1,replay,457.03,0.32849,0.01167,0.05656
Exp1,replay,458.98,0.34614,-0.01349,0.06197
Exp1,replay,460.94,0.36219,-0.03585,0.06760
Exp1,replay,462.89,0.37793,-0.05509,0.07431
Exp1,replay,464.84,0.39348,-0.07083,0.08221
Exp1,replay,466.80,0.40770,-0.08240,0.09054
Exp1,replay,468.75,0.41844,-0.08893,0.09780
Exp1,replay,470.70,0.42270,-0.08896,0.10200
Exp1,replay,472.66,0.41742,-0.08037,0.10157
Exp1,replay,474.61,0.40228,-0.06183,0.09681
Exp1,replay,476.56,0.38121,-0.03435,0.09033
Exp1,replay,478.52,0.36088,-0.00091,0.08557
Exp1,replay,480.47,0.34748,0.03502,0.08497
Exp1,replay,482.42,0.34454,0.07086,0.08933
Exp1,replay,484.38,0.35174,0.10577,0.09797
Exp1,replay,486.33,0.36563,0.14102,0.10982
Exp1,replay,488.28,0.38074,0.17991,0.12422
Exp1,replay,490.23,0.38999,0.22674,0.14106
Exp1,replay,492.19,0.38665,0.28375,0.16076
Exp1,replay,494.14,0.36822,0.34763,0.18393
Exp1,replay,496.09,0.33873,0.40932,0.20975
Exp1,replay,498.05,0.30755,0.45785,0.23436
