experiment,model,subject,target_label,audio_label,visual_label,a_audio,b_visual,R2_full,R2_static,R2_audio,R2_visual
Exp2,self,Vp1,MVA,MA,MV,1.11574,0.45724,0.89484,0.79429,0.83159,-0.09245
Exp2,self,Vp2,MVA,MA,MV,0.16793,1.13508,0.43671,0.00592,0.35026,0.43075
Exp2,self,Vp3,MVA,MA,MV,1.29047,0.62627,0.89781,0.87932,0.87140,0.53531
Exp2,self,Vp4,MVA,MA,MV,1.20333,1.11041,0.80288,0.78281,0.55336,0.33988
Exp2,self,Vp6,MVA,MA,MV,0.77441,0.64367,0.66078,0.52599,0.57876,0.08716
Exp2,self,Vp7,MVA,MA,MV,0.82282,0.62556,0.82321,0.68373,0.75600,0.59528
Exp2,self,Vp8,MVA,MA,MV,1.23646,0.30045,0.86592,0.73986,0.84540,0.05632
Exp2,self,Vp9,MVA,MA,MV,1.93793,0.27421,0.84951,0.64651,0.83140,0.18892
Exp2,self,Vp10,MVA,MA,MV,1.42329,0.37927,0.83262,0.68384,0.78263,0.56935
Exp2,self,Vp12,MVA,MA,MV,1.06678,0.26852,0.80224,0.24286,0.73119,-0.00327
Exp2,self,Vp13,MVA,MA,MV,1.23270,-0.35104,0.67868,-0.08332,0.64311,0.13523
Exp2,self,Vp14,MVA,MA,MV,1.43714,0.34164,0.71760,0.63163,0.69633,0.25722
Exp2,self,Vp17,MVA,MA,MV,0.15294,1.62616,0.61419,-0.38267,0.27090,0.58411
Exp2,self,Vp20,MVA,MA,MV,0.98504,0.50330,0.65098,0.55302,0.55069,0.10856
Exp2,self,Vp21,MVA,MA,MV,0.77354,-0.11618,0.72016,0.47075,0.71820,-0.12364
Exp2,self,Vp23,MVA,MA,MV,1.23804,0.48351,0.92831,0.88497,0.89159,0.29949
Exp2,self,Vp24,MVA,MA,MV,0.74182,0.26104,0.71107,-2.36873,0.55503,0.21968
Exp2,self,Vp25,MVA,MA,MV,0.96662,-0.53724,0.54668,-0.26040,0.46048,-0.17217
Exp2,self,Vp26,MVA,MA,MV,0.70185,0.88341,0.71248,0.63764,0.55257,0.58863
Exp2,self,Vp27,MVA,MA,MV,1.25671,0.02915,0.85474,0.56990,0.85449,0.11250
Exp2,self,Vp28,MVA,MA,MV,1.01533,0.34928,0.90408,0.83752,0.89215,0.40171
Exp2,self,Vp29,MVA,MA,MV,0.69575,0.27290,0.59982,-0.96610,0.37955,0.10082
Exp2,self,Vp30,MVA,MA,MV,1.19059,-0.40807,0.73032,-0.04360,0.66921,-0.10422
Exp2,self,Vp31,MVA,MA,MV,0.94042,0.52597,0.74284,0.63894,0.65213,0.34027
Exp2,self,Vp32,MVA,MA,MV,1.04765,0.17572,0.73868,0.15933,0.72206,0.32806
Exp2,self,Vp33,MVA,MA,MV,0.91694,0.58701,0.83353,0.77611,0.75096,0.23116
Exp2,self,Vp34,MVA,MA,MV,-0.25433,1.13435,0.75322,-1.11449,0.50604,0.73585
Exp2,self,Vp35,MVA,MA,MV,0.99899,0.98640,0.87635,0.87631,0.83017,0.75694
Exp2,self,Vp36,MVA,MA,MV,0.79088,0.23161,0.71863,0.52298,0.71034,0.11036
Exp2,self,Vp38,MVA,MA,MV,0.55380,1.08934,0.84991,0.77907,0.65302,0.79245
