experiment,model,time_ms,a_audio,b_visual,R2
Exp2,self,-99.61,0.42558,0.25202,0.39982
Exp2,self,-97.66,0.42989,0.18068,0.38022
Exp2,self,-95.70,0.43295,0.11485,0.37155
Exp2,self,-93.75,0.42710,0.07386,0.36552
Exp2,self,-91.80,0.40878,0.06468,0.35367
Exp2,self,-89.84,0.38073,0.08110,0.33229
Exp2,self,-87.89,0.34976,0.11026,0.30406
Exp2,self,-85.94,0.32237,0.14066,0.27576
Exp2,self,-83.98,0.30173,0.16586,0.25411
Exp2,self,-82.03,0.28608,0.18497,0.24208
Exp2,self,-80.08,0.26962,0.20302,0.24163
Exp2,self,-78.12,0.24623,0.22875,0.25686
Exp2,self,-76.17,0.21300,0.26839,0.29077
Exp2,self,-74.22,0.17425,0.31872,0.34103
Exp2,self,-72.27,0.14193,0.36648,0.39905
Exp2,self,-70.31,0.12995,0.39472,0.45280
Exp2,self,-68.36,0.14555,0.39311,0.49163
Exp2,self,-66.41,0.18514,0.36462,0.50865
Exp2,self,-64.45,0.23885,0.32098,0.50103
Exp2,self,-62.50,0.29816,0.27350,0.47525
Exp2,self,-60.55,0.35685,0.23159,0.44635
Exp2,self,-58.59,0.40499,0.20806,0.42605
Exp2,self,-56.64,0.42896,0.21769,0.41815
Exp2,self,-54.69,0.42958,0.25769,0.42124
Exp2,self,-52.73,0.43513,0.29583,0.42983
Exp2,self,-50.78,0.46628,0.30627,0.43643
Exp2,self,-48.83,0.50757,0.29567,0.43625
Exp2,self,-46.88,0.53308,0.27799,0.42608
Exp2,self,-44.92,0.53236,0.25688,0.40380
Exp2,self,-42.97,0.50818,0.23252,0.36976
Exp2,self,-41.02,0.46834,0.20643,0.32655
Exp2,self,-39.06,0.42152,0.18108,0.27933
Exp2,self,-37.11,0.37578,0.15910,0.23565
Exp2,self,-35.16,0.33664,0.14263,0.20263
Exp2,self,-33.20,0.30627,0.13171,0.18435
Exp2,self,-31.25,0.28412,0.12495,0.18174
Exp2,self,-29.30,0.26818,0.12226,0.19422
Exp2,self,-27.34,0.25543,0.12619,0.22058
Exp2,self,-25.39,0.24306,0.14027,0.25903
Exp2,self,-23.44,0.23071,0.16532,0.30629
Exp2,self,-21.48,0.22049,0.19861,0.35635
Exp2,self,-19.53,0.21537,0.23574,0.40285
Exp2,self,-17.58,0.21820,0.27280,0.44299
Exp2,self,-15.62,0.23135,0.30742,0.47740
Exp2,self,-13.67,0.25418,0.33974,0.50756
Exp2,self,-11.72,0.28001,0.37309,0.53447
