experiment,model,time_ms,a_audio,b_visual,R2
Exp1,replay,113.28,0.17606,0.89486,0.42945
Exp1,replay,115.23,0.26867,0.91184,0.45987
Exp1,replay,117.19,0.36580,0.92435,0.49553
Exp1,replay,119.14,0.46097,0.92977,0.52153
Exp1,replay,121.09,0.54731,0.92587,0.52298
Exp1,replay,123.05,0.61890,0.91243,0.49291
Exp1,replay,125.00,0.67219,0.89183,0.43599
Exp1,replay,126.95,0.70696,0.86780,0.36403
Exp1,replay,128.91,0.72482,0.84371,0.28838
Exp1,replay,130.86,0.72604,0.82192,0.21542
Exp1,replay,132.81,0.70751,0.80437,0.14626
Exp1,replay,134.77,0.66295,0.79318,0.07906
Exp1,replay,136.72,0.58733,0.78995,0.01263
Exp1,replay,138.67,0.48442,0.79375,-0.04922
Exp1,replay,140.62,0.36977,0.80018,-0.09882
Exp1,replay,142.58,0.26496,0.80246,-0.13460
Exp1,replay,144.53,0.18664,0.79357,-0.16499
Exp1,replay,146.48,0.13897,0.76911,-0.19581
Exp1,replay,148.44,0.11574,0.73157,-0.21941
Exp1,replay,150.39,0.10907,0.69162,-0.22158
Exp1,replay,152.34,0.11671,0.66314,-0.19507
Exp1,replay,154.30,0.14176,0.65641,-0.14398
Exp1,replay,156.25,0.18761,0.67426,-0.07808
Exp1,replay,158.20,0.25368,0.70970,-0.00645
Exp1,replay,160.16,0.33304,0.74416,0.06204
Exp1,replay,162.11,0.41206,0.75404,0.11614
Exp1,replay,164.06,0.47564,0.72801,0.14645
Exp1,replay,166.02,0.51381,0.67348,0.15006
Exp1,replay,167.97,0.52261,0.60487,0.12979
Exp1,replay,169.92,0.50307,0.53537,0.09381
Exp1,replay,171.88,0.46118,0.47596,0.05462
Exp1,replay,173.83,0.40634,0.43354,0.02317
Exp1,replay,175.78,0.34908,0.40994,0.00496
Exp1,replay,177.73,0.29982,0.40430,0.00202
Exp1,replay,179.69,0.26711,0.41511,0.01548
Exp1,replay,181.64,0.25481,0.44010,0.04592
Exp1,replay,183.59,0.26023,0.47563,0.09333
Exp1,replay,185.55,0.27561,0.51652,0.15621
Exp1,replay,187.50,0.29290,0.55630,0.22911
Exp1,replay,189.45,0.30916,0.58937,0.30282
Exp1,replay,191.41,0.32735,0.61364,0.36950
Exp1,replay,193.36,0.35194,0.63105,0.42673
Exp1,replay,195.31,0.38445,0.64587,0.47661
Exp1,replay,197.27,0.42274,0.66224,0.52201
Exp1,replay,199.22,0.46314,0.68226,0.56412
Exp1,replay,201.17,0.50289,0.70501,0.60258
Exp1,replay,203.12,0.54013,0.72684,0.63680
Exp1,replay,205.08,0.57152,0.74237,0.66530
Exp1,replay,207.03,0.59285,0.74759,0.68530
Exp1,replay,208.98,0.60376,0.74435,0.69562
Exp1,replay,210.94,0.60911,0.74026,0.69850
Exp1,replay,212.89,0.61413,0.74238,0.69601
Exp1,replay,214.84,0.62062,0.75241,0.68724
Exp1,replay,216.80,0.62805,0.76766,0.67132
Exp1,replay,218.75,0.63600,0.78395,0.65065
Exp1,replay,220.70,0.64502,0.79722,0.62951
Exp1,replay,222.66,0.65576,0.80428,0.61068
Exp1,replay,224.61,0.66744,0.80181,0.59304
Exp1,replay,226.56,0.67675,0.78605,0.57245
Exp1,replay,228.52,0.67977,0.75606,0.54571
Exp1,replay,230.47,0.67558,0.71673,0.51421
Exp1,replay,232.42,0.66649,0.67687,0.48328
Exp1,replay,234.38,0.65560,0.64489,0.45893
Exp1,replay,236.33,0.64565,0.62561,0.44525
Exp1,replay,238.28,0.63886,0.61923,0.44302
Exp1,replay,240.23,0.63685,0.62316,0.45047
Exp1,replay,242.19,0.64079,0.63433,0.46479
Exp1,replay,244.14,0.64941,0.64941,0.48225
Exp1,replay,246.09,0.65731,0.66373,0.49747
Exp1,replay,248.05,0.65774,0.67171,0.50465
Exp1,replay,250.00,0.64708,0.66940,0.50074
Exp1,replay,251.95,0.62608,0.65773,0.48715
Exp1,replay,253.91,0.59874,0.64264,0.46870
Exp1,replay,255.86,0.57104,0.63146,0.45111
Exp1,replay,257.81,0.54874,0.62978,0.43887
Exp1,replay,259.77,0.53451,0.64103,0.43398
Exp1,replay,261.72,0.52684,0.66711,0.43656
Exp1,replay,263.67,0.52154,0.70684,0.44530
Exp1,replay,265.62,0.51333,0.75479,0.45687
Exp1,replay,267.58,0.49595,0.80381,0.46607
Exp1,replay,269.53,0.46514,0.84799,0.46864
Exp1,replay,271.48,0.42404,0.88209,0.46358
Exp1,replay,273.44,0.38225,0.90103,0.45191
Exp1,replay,275.39,0.34852,0.90197,0.43440
Exp1,replay,277.34,0.32658,0.88615,0.41212
Exp1,replay,279.30,0.31674,0.85829,0.38779
Exp1,replay,281.25,0.31853,0.82490,0.36544
Exp1,replay,283.20,0.33143,0.79331,0.34915
Exp1,replay,285.16,0.35415,0.77125,0.34224
Exp1,replay,287.11,0.38418,0.76564,0.34667
Exp1,replay,289.06,0.41847,0.77873,0.36156
Exp1,replay,291.02,0.45470,0.80384,0.38251
Exp1,replay,292.97,0.49184,0.82710,0.40304
Exp1,replay,294.92,0.52931,0.83780,0.41843
Exp1,replay,296.88,0.56548,0.83665,0.42824
Exp1,replay,298.83,0.59745,0.83006,0.43397
Exp1,replay,300.78,0.62265,0.81970,0.43507
Exp1,replay,302.73,0.64104,0.80227,0.42870
Exp1,replay,304.69,0.65519,0.77746,0.41309
Exp1,replay,306.64,0.66755,0.74966,0.38889
Exp1,replay,308.59,0.67803,0.72230,0.35742
Exp1,replay,310.55,0.68528,0.69451,0.32005
Exp1,replay,312.50,0.69062,0.66323,0.28024
Exp1,replay,314.45,0.70007,0.62645,0.24444
Exp1,replay,316.41,0.72116,0.58484,0.21951
Exp1,replay,318.36,0.75735,0.54072,0.20876
Exp1,replay,320.31,0.80525,0.49539,0.20929
Exp1,replay,322.27,0.85610,0.44903,0.21303
Exp1,replay,324.22,0.90040,0.40405,0.21139
Exp1,replay,326.17,0.93183,0.36645,0.19965
Exp1,replay,328.12,0.94799,0.34338,0.17746
Exp1,replay,330.08,0.94927,0.33993,0.14768
Exp1,replay,332.03,0.93769,0.35731,0.11519
Exp1,replay,333.98,0.91544,0.39288,0.08485
Exp1,replay,335.94,0.88432,0.44165,0.05986
Exp1,replay,337.89,0.84685,0.49711,0.04190
Exp1,replay,339.84,0.80691,0.55059,0.03136
Exp1,replay,341.80,0.76856,0.59286,0.02679
Exp1,replay,343.75,0.73393,0.61886,0.02550
Exp1,replay,345.70,0.70235,0.62989,0.02548
Exp1,replay,347.66,0.67138,0.63058,0.02617
Exp1,replay,349.61,0.63924,0.62435,0.02789
Exp1,replay,351.56,0.60794,0.61133,0.03169
Exp1,replay,353.52,0.58218,0.59125,0.03916
Exp1,replay,355.47,0.56523,0.56627,0.05056
Exp1,replay,357.42,0.55718,0.54074,0.06442
Exp1,replay,359.38,0.55442,0.51973,0.07802
Exp1,replay,361.33,0.54790,0.50733,0.08682
Exp1,replay,363.28,0.52576,0.50225,0.08444
Exp1,replay,365.23,0.48437,0.49539,0.06619
Exp1,replay,367.19,0.43443,0.47625,0.03410
Exp1,replay,369.14,0.39232,0.44417,-0.00153
Exp1,replay,371.09,0.36908,0.41004,-0.02723
Exp1,replay,373.05,0.36634,0.38647,-0.03475
Exp1,replay,375.00,0.37706,0.37931,-0.02614
Exp1,replay,376.95,0.38809,0.38759,-0.01243
Exp1,replay,378.91,0.38547,0.40617,-0.00657
Exp1,replay,380.86,0.36117,0.42618,-0.01614
Exp1,replay,382.81,0.31540,0.43605,-0.04170
Exp1,replay,384.77,0.25497,0.42670,-0.07759
Exp1,replay,386.72,0.19163,0.39878,-0.11251
Exp1,replay,388.67,0.13828,0.36462,-0.13423
Exp1,replay,390.62,0.10238,0.34158,-0.13595
Exp1,replay,392.58,0.08349,0.34187,-0.11698
Exp1,replay,394.53,0.07742,0.36637,-0.07982
Exp1,replay,396.48,0.08137,0.40439,-0.03055
Exp1,replay,398.44,0.09513,0.43931,0.01942
Exp1,replay,400.39,0.11815,0.45814,0.05786
Exp1,replay,402.34,0.14753,0.45757,0.07901
Exp1,replay,404.30,0.18109,0.44242,0.08563
Exp1,replay,406.25,0.22182,0.42127,0.08695
Exp1,replay,408.20,0.27599,0.40256,0.09482
Exp1,replay,410.16,0.34669,0.39179,0.11845
Exp1,replay,412.11,0.42893,0.39079,0.16106
Exp1,replay,414.06,0.50853,0.39877,0.21882
Exp1,replay,416.02,0.56653,0.41375,0.28108
Exp1,replay,417.97,0.59066,0.43391,0.33402
Exp1,replay,419.92,0.58562,0.45617,0.36933
Exp1,replay,421.88,0.56762,0.47372,0.38704
Exp1,replay,423.83,0.55037,0.47891,0.38939
Exp1,replay,425.78,0.53839,0.46918,0.37625
Exp1,replay,427.73,0.52704,0.44883,0.34617
Exp1,replay,429.69,0.50762,0.42589,0.30100
Exp1,replay,431.64,0.47662,0.40820,0.24981
Exp1,replay,433.59,0.43967,0.40104,0.20553
Exp1,replay,435.55,0.40531,0.40576,0.17648
Exp1,replay,437.50,0.37820,0.41918,0.16311
Exp1,replay,439.45,0.35843,0.43472,0.16128
Exp1,replay,441.41,0.34394,0.44531,0.16582
Exp1,replay,443.36,0.33189,0.44671,0.17216
Exp1,replay,445.31,0.31750,0.43995,0.17701
Exp1,replay,447.27,0.29145,0.43084,0.17805
Exp1,replay,449.22,0.23945,0.42639,0.17461
Exp1,replay,451.17,0.15068,0.42970,0.16990
Exp1,replay,453.12,0.03419,0.43581,0.16952
Exp1,replay,455.08,-0.07565,0.43362,0.17274
Exp1,replay,457.03,-0.14553,0.41607,0.17002
Exp1,replay,458.98,-0.17395,0.38659,0.15620
Exp1,replay,460.94,-0.18208,0.35358,0.13636
Exp1,replay,462.89,-0.18688,0.32337,0.11749
Exp1,replay,464.84,-0.19207,0.29890,0.10296
Exp1,replay,466.80,-0.19666,0.28138,0.09326
Exp1,replay,468.75,-0.20392,0.27185,0.08862
Exp1,replay,470.70,-0.22189,0.27137,0.09065
Exp1,replay,472.66,-0.25562,0.27961,0.10202
Exp1,replay,474.61,-0.29830,0.29240,0.12326
Exp1,replay,476.56,-0.33492,0.30259,0.14897
Exp1,replay,478.52,-0.35535,0.30457,0.16922
Exp1,replay,480.47,-0.35953,0.29727,0.17656
Exp1,replay,482.42,-0.35238,0.28385,0.17073
Exp1,replay,484.38,-0.33856,0.26962,0.15737
Exp1,replay,486.33,-0.32165,0.26080,0.14415
Exp1,replay,488.28,-0.30441,0.26228,0.13703
Exp1,replay,490.23,-0.28733,0.27461,0.13808
Exp1,replay,492.19,-0.26935,0.29441,0.14624
Exp1,replay,494.14,-0.25232,0.31664,0.15879
Exp1,replay,496.09,-0.24226,0.33654,0.17189
Exp1,replay,498.05,-0.24257,0.35077,0.18149
