experiment,model,subject,target_label,audio_label,visual_label,a_audio,b_visual,R2_full,R2_static,R2_audio,R2_visual
Exp1,replay,Vp1,VAO,AO,VO,0.83087,0.96928,0.89069,0.86817,0.38044,0.43267
Exp1,replay,Vp2,VAO,AO,VO,0.91126,1.10887,0.81471,0.79914,-0.18675,0.52803
Exp1,replay,Vp4,VAO,AO,VO,0.17285,0.45513,0.30614,-0.45187,0.01233,0.29219
Exp1,replay,Vp5,VAO,AO,VO,0.13526,0.87309,0.54493,-0.21400,0.13971,0.53208
Exp1,replay,Vp6,VAO,AO,VO,0.35430,0.13429,0.13710,-1.18237,0.11558,-0.01200
Exp1,replay,Vp7,VAO,AO,VO,0.30842,0.41341,0.16110,-0.37739,-0.01287,0.10125
Exp1,replay,Vp8,VAO,AO,VO,0.22838,0.71667,0.36392,-0.03236,-0.21862,0.34070
Exp1,replay,Vp10,VAO,AO,VO,0.27054,1.24701,0.30087,0.11924,-0.51239,0.28217
Exp1,replay,Vp11,VAO,AO,VO,0.39087,0.31483,0.35610,-0.88003,0.24000,0.18592
Exp1,replay,Vp12,VAO,AO,VO,0.04481,0.73915,0.73469,0.44888,-0.02483,0.73419
Exp1,replay,Vp13,VAO,AO,VO,0.62049,0.21637,0.22200,-0.13599,0.20657,-0.13604
Exp1,replay,Vp14,VAO,AO,VO,0.25333,0.64817,0.54465,0.26361,-0.19299,0.52956
Exp1,replay,Vp15,VAO,AO,VO,0.25619,0.63064,0.14799,-0.51031,-0.08836,0.06990
Exp1,replay,Vp16,VAO,AO,VO,0.86373,0.44669,0.34582,-0.66418,-0.14252,0.16436
Exp1,replay,Vp17,VAO,AO,VO,0.37383,0.19203,0.16785,-1.18665,0.13099,0.02720
Exp1,replay,Vp18,VAO,AO,VO,0.52126,0.85638,0.63060,0.51105,0.10619,0.53876
Exp1,replay,Vp19,VAO,AO,VO,0.15649,0.36980,0.19532,-0.87135,0.01302,0.17435
Exp1,replay,Vp20,VAO,AO,VO,0.11228,-0.32988,-0.49219,-4.27057,-0.57785,-0.49957
Exp1,replay,Vp22,VAO,AO,VO,0.59493,0.44187,0.32885,-0.21740,0.04523,0.22764
Exp1,replay,Vp23,VAO,AO,VO,1.14985,0.67176,0.09992,0.01497,-0.21622,-0.44021
Exp1,replay,Vp24,VAO,AO,VO,0.34157,0.43884,-0.85032,-1.18277,-0.93962,-0.88929
Exp1,replay,Vp25,VAO,AO,VO,0.42654,1.21319,0.60993,0.00547,-0.32693,0.40169
