experiment,model,channel,target_label,audio_label,visual_label,a_audio,a_sem,b_visual,b_sem,R2,audio_minus_visual
Exp2,self,Fp1,MVA,MA,MV,0.57307,0.10834,0.36306,0.10856,0.60081,0.21001
Exp2,self,AF3,MVA,MA,MV,0.62490,0.08278,0.42006,0.08189,0.60009,0.20485
Exp2,self,F7,MVA,MA,MV,0.61177,0.07717,0.29654,0.06096,0.49249,0.31523
Exp2,self,F3,MVA,MA,MV,0.72420,0.06697,0.31630,0.08435,0.59418,0.40790
Exp2,self,FC1,MVA,MA,MV,0.85481,0.06580,0.42374,0.06926,0.70043,0.43107
Exp2,self,FC5,MVA,MA,MV,0.72105,0.06948,0.31587,0.05939,0.54102,0.40518
Exp2,self,T7,MVA,MA,MV,0.65901,0.06502,0.37550,0.08964,0.52110,0.28352
Exp2,self,C3,MVA,MA,MV,0.81249,0.06303,0.48353,0.07393,0.67786,0.32896
Exp2,self,CP1,MVA,MA,MV,0.77515,0.08275,0.69197,0.09835,0.70407,0.08318
Exp2,self,CP5,MVA,MA,MV,0.65649,0.08452,0.65494,0.08434,0.64213,0.00155
Exp2,self,P7,MVA,MA,MV,0.57262,0.05369,0.67388,0.06836,0.63708,-0.10126
Exp2,self,P3,MVA,MA,MV,0.63119,0.06520,0.71340,0.05938,0.65507,-0.08221
Exp2,self,Pz,MVA,MA,MV,0.69562,0.05903,0.68299,0.07246,0.63991,0.01263
Exp2,self,PO3,MVA,MA,MV,0.44785,0.06922,0.78050,0.04853,0.66166,-0.33265
Exp2,self,O1,MVA,MA,MV,0.41412,0.05722,0.75053,0.04408,0.66392,-0.33641
Exp2,self,Oz,MVA,MA,MV,0.34110,0.06605,0.77027,0.04037,0.65379,-0.42917
Exp2,self,O2,MVA,MA,MV,0.39267,0.05271,0.74860,0.04859,0.71912,-0.35593
Exp2,self,PO4,MVA,MA,MV,0.47228,0.06775,0.78969,0.06019,0.71754,-0.31740
Exp2,self,P4,MVA,MA,MV,0.63264,0.05189,0.79345,0.06566,0.71999,-0.16082
Exp2,self,P8,MVA,MA,MV,0.53912,0.08138,0.69017,0.07706,0.71542,-0.15105
Exp2,self,CP6,MVA,MA,MV,0.70076,0.07044,0.72311,0.06857,0.70063,-0.02235
Exp2,self,CP2,MVA,MA,MV,0.72016,0.06698,0.76753,0.08716,0.68284,-0.04737
Exp2,self,C4,MVA,MA,MV,0.82399,0.08134,0.62524,0.08551,0.69173,0.19875
Exp2,self,T8,MVA,MA,MV,0.59679,0.06204,0.43469,0.06019,0.56401,0.16211
Exp2,self,FC6,MVA,MA,MV,0.71873,0.06180,0.49333,0.08706,0.62322,0.22540
Exp2,self,FC2,MVA,MA,MV,0.85787,0.06622,0.41485,0.07358,0.70552,0.44302
Exp2,self,F4,MVA,MA,MV,0.75633,0.06114,0.48517,0.07816,0.67970,0.27116
Exp2,self,F8,MVA,MA,MV,0.44642,0.07196,0.52817,0.07222,0.52479,-0.08175
Exp2,self,AF4,MVA,MA,MV,0.63439,0.07796,0.41481,0.09423,0.62232,0.21958
Exp2,self,Fp2,MVA,MA,MV,0.54563,0.10951,0.44608,0.12183,0.61068,0.09956
Exp2,self,Fz,MVA,MA,MV,0.76612,0.07284,0.51919,0.09775,0.68870,0.24694
Exp2,self,Cz,MVA,MA,MV,0.94739,0.07732,0.46296,0.08917,0.75829,0.48442
