experiment,model,subject,target_label,audio_label,visual_label,target_P1_uV,audioPlusVisual_P1_uV,D_P1_uV,target_N2_uV,audioPlusVisual_N2_uV,D_N2_uV,whole_epoch_R2,whole_epoch_RMSE_uV
Exp2,self,Vp1,MVA,MA,MV,5.50566,3.86323,1.64244,2.96900,5.03521,-2.06621,-0.00330,2.59279
Exp2,self,Vp2,MVA,MA,MV,1.37420,0.77702,0.59718,1.41088,0.82388,0.58700,0.09639,1.52052
Exp2,self,Vp3,MVA,MA,MV,2.97017,2.51353,0.45664,6.39048,4.55221,1.83826,0.71119,1.88265
Exp2,self,Vp4,MVA,MA,MV,2.61030,2.84111,-0.23081,1.66309,2.15966,-0.49658,0.59738,1.05523
Exp2,self,Vp6,MVA,MA,MV,1.98993,4.27296,-2.28303,3.21060,4.94790,-1.73730,0.09321,2.48171
Exp2,self,Vp7,MVA,MA,MV,3.32016,3.73153,-0.41137,2.59851,3.75798,-1.15947,-0.17896,1.44248
Exp2,self,Vp8,MVA,MA,MV,7.23935,5.46601,1.77334,5.87112,4.90049,0.97063,0.75115,1.48023
Exp2,self,Vp9,MVA,MA,MV,3.46160,3.30638,0.15522,7.58095,8.63406,-1.05311,0.74592,1.74136
Exp2,self,Vp10,MVA,MA,MV,3.75674,0.17966,3.57708,4.01475,2.40158,1.61317,0.09391,1.93002
Exp2,self,Vp12,MVA,MA,MV,4.09505,4.33469,-0.23964,5.12418,7.27568,-2.15150,0.73535,1.59032
Exp2,self,Vp13,MVA,MA,MV,4.39646,4.29293,0.10353,5.56931,6.65722,-1.08791,0.31997,1.74223
Exp2,self,Vp14,MVA,MA,MV,0.66766,0.54870,0.11896,2.74451,1.19710,1.54742,0.42344,1.49936
Exp2,self,Vp17,MVA,MA,MV,0.75807,-0.24330,1.00138,7.40359,8.31183,-0.90824,0.63427,1.81536
Exp2,self,Vp20,MVA,MA,MV,2.50663,0.45270,2.05393,2.21109,0.37598,1.83512,0.04362,1.61834
Exp2,self,Vp21,MVA,MA,MV,8.37046,11.39377,-3.02331,8.01980,10.00260,-1.98280,0.54312,2.76236
Exp2,self,Vp23,MVA,MA,MV,1.39617,0.64836,0.74781,1.40172,0.10592,1.29579,0.27611,0.86476
Exp2,self,Vp24,MVA,MA,MV,0.88784,6.10701,-5.21917,5.23312,7.18833,-1.95521,-0.41672,3.60618
Exp2,self,Vp25,MVA,MA,MV,3.11858,5.58723,-2.46865,0.81302,5.22690,-4.41388,-0.19253,3.01584
Exp2,self,Vp26,MVA,MA,MV,1.82288,4.03413,-2.21125,2.60867,5.53996,-2.93129,-0.08760,1.97264
Exp2,self,Vp27,MVA,MA,MV,10.00821,10.08813,-0.07992,4.54896,3.47519,1.07377,0.86830,1.09283
Exp2,self,Vp28,MVA,MA,MV,3.14390,0.99858,2.14532,1.76732,0.93468,0.83264,0.46264,1.10621
Exp2,self,Vp29,MVA,MA,MV,0.20229,-0.10321,0.30550,7.22268,7.56402,-0.34134,0.65872,2.23267
Exp2,self,Vp30,MVA,MA,MV,3.46796,4.28781,-0.81985,1.55864,0.99676,0.56188,-0.27837,1.56911
Exp2,self,Vp31,MVA,MA,MV,1.60320,0.45068,1.15252,6.34180,7.24597,-0.90416,0.35700,2.05478
Exp2,self,Vp32,MVA,MA,MV,1.16104,3.01830,-1.85727,1.04449,0.39881,0.64568,0.29318,1.56882
Exp2,self,Vp33,MVA,MA,MV,1.10357,0.26943,0.83414,2.15753,2.60592,-0.44838,-0.01820,2.09328
Exp2,self,Vp34,MVA,MA,MV,1.96310,6.30646,-4.34337,3.78946,9.20800,-5.41855,-0.45992,3.60153
Exp2,self,Vp35,MVA,MA,MV,5.17655,5.38422,-0.20768,7.40810,9.04274,-1.63464,0.82521,1.37844
Exp2,self,Vp36,MVA,MA,MV,2.03754,0.89270,1.14483,1.87515,-0.32414,2.19929,-0.70594,2.60562
Exp2,self,Vp38,MVA,MA,MV,5.72457,6.52888,-0.80431,3.38566,4.40233,-1.01667,0.65260,1.62763
