experiment,model,subject,target_label,audio_label,visual_label,a_audio,b_visual,R2_full,R2_static,R2_audio,R2_visual
Exp2,self,Vp1,MVA,MA,MV,0.32819,0.72213,0.76658,-0.00330,-0.24641,0.72521
Exp2,self,Vp2,MVA,MA,MV,-0.24510,0.90911,0.69385,0.09639,-0.73166,0.67083
Exp2,self,Vp3,MVA,MA,MV,0.61816,1.10884,0.73741,0.71119,-0.02347,0.66869
Exp2,self,Vp4,MVA,MA,MV,0.55354,0.72961,0.76160,0.59738,-0.19576,0.70504
Exp2,self,Vp6,MVA,MA,MV,0.44012,0.64029,0.76051,0.09321,0.07815,0.65843
Exp2,self,Vp7,MVA,MA,MV,0.53318,0.69474,0.46556,-0.17896,0.22758,0.23910
Exp2,self,Vp8,MVA,MA,MV,0.26241,0.98887,0.84122,0.75115,-1.21334,0.83078
Exp2,self,Vp9,MVA,MA,MV,0.44461,0.81796,0.90329,0.74592,-0.45370,0.88395
Exp2,self,Vp10,MVA,MA,MV,0.05299,1.43013,0.63111,0.09391,-0.94745,0.62979
Exp2,self,Vp12,MVA,MA,MV,0.36533,0.76068,0.89340,0.73535,-0.47285,0.88499
Exp2,self,Vp13,MVA,MA,MV,-0.09133,0.89474,0.77629,0.31997,-1.49515,0.77377
Exp2,self,Vp14,MVA,MA,MV,0.22137,0.97305,0.63321,0.42344,-0.63111,0.61724
Exp2,self,Vp17,MVA,MA,MV,0.62098,0.81527,0.79354,0.63427,0.01975,0.63045
Exp2,self,Vp20,MVA,MA,MV,0.22305,0.79525,0.38638,0.04362,-0.22687,0.36342
Exp2,self,Vp21,MVA,MA,MV,0.49348,0.78392,0.87584,0.54312,-0.21210,0.84224
Exp2,self,Vp23,MVA,MA,MV,0.28725,0.75995,0.66819,0.27611,-0.20804,0.60904
Exp2,self,Vp24,MVA,MA,MV,0.66711,0.43300,0.32599,-0.41672,0.01143,0.14509
Exp2,self,Vp25,MVA,MA,MV,0.45460,0.54932,0.72605,-0.19253,0.40631,0.66852
Exp2,self,Vp26,MVA,MA,MV,0.39204,0.56455,0.74375,-0.08760,0.11396,0.72402
Exp2,self,Vp27,MVA,MA,MV,0.31070,0.99119,0.89718,0.86830,-0.70877,0.89166
Exp2,self,Vp28,MVA,MA,MV,0.93224,0.82627,0.49546,0.46264,-0.06458,0.14010
Exp2,self,Vp29,MVA,MA,MV,-0.07404,0.90527,0.94241,0.65872,-0.21860,0.94144
Exp2,self,Vp30,MVA,MA,MV,0.24281,0.60953,0.38693,-0.27837,-0.19851,0.36199
Exp2,self,Vp31,MVA,MA,MV,0.68150,0.69391,0.55132,0.35700,0.06684,0.36932
Exp2,self,Vp32,MVA,MA,MV,0.50574,0.65595,0.82072,0.29318,0.18012,0.69104
Exp2,self,Vp33,MVA,MA,MV,0.13762,0.70251,0.62720,-0.01820,0.08138,0.61851
Exp2,self,Vp34,MVA,MA,MV,0.51942,0.48863,0.79813,-0.45992,0.70016,0.74182
Exp2,self,Vp35,MVA,MA,MV,0.92423,0.81380,0.92085,0.82521,0.05571,0.81636
Exp2,self,Vp36,MVA,MA,MV,1.21145,0.02056,-0.12305,-0.70594,-0.12327,-0.92798
Exp2,self,Vp38,MVA,MA,MV,0.47698,0.77237,0.88911,0.65260,0.20694,0.87398
