experiment,model,time_ms,a_audio,b_visual,R2
Exp2,self,-99.61,0.43763,0.52856,0.44835
Exp2,self,-97.66,0.46590,0.51025,0.44543
Exp2,self,-95.70,0.52017,0.45873,0.43051
Exp2,self,-93.75,0.58448,0.39253,0.42007
Exp2,self,-91.80,0.63685,0.33096,0.41534
Exp2,self,-89.84,0.67724,0.27337,0.40867
Exp2,self,-87.89,0.72239,0.20647,0.40011
Exp2,self,-85.94,0.78065,0.12654,0.39859
Exp2,self,-83.98,0.84086,0.04654,0.40866
Exp2,self,-82.03,0.88508,-0.01928,0.42176
Exp2,self,-80.08,0.89901,-0.06660,0.42338
Exp2,self,-78.12,0.87041,-0.09628,0.40433
Exp2,self,-76.17,0.79569,-0.10840,0.36644
Exp2,self,-74.22,0.69399,-0.09990,0.32073
Exp2,self,-72.27,0.59960,-0.06479,0.27958
Exp2,self,-70.31,0.53364,-0.00493,0.25213
Exp2,self,-68.36,0.49499,0.06688,0.24249
Exp2,self,-66.41,0.47241,0.14122,0.24713
Exp2,self,-64.45,0.45217,0.21663,0.25946
Exp2,self,-62.50,0.42261,0.29240,0.27509
Exp2,self,-60.55,0.38044,0.36574,0.29365
Exp2,self,-58.59,0.33337,0.43375,0.31748
Exp2,self,-56.64,0.29504,0.49195,0.34657
Exp2,self,-54.69,0.27587,0.53280,0.37549
Exp2,self,-52.73,0.27900,0.54780,0.39617
Exp2,self,-50.78,0.30348,0.52924,0.40232
Exp2,self,-48.83,0.34600,0.47258,0.39222
Exp2,self,-46.88,0.39833,0.38225,0.36908
Exp2,self,-44.92,0.44977,0.27443,0.34016
Exp2,self,-42.97,0.49538,0.16940,0.31554
Exp2,self,-41.02,0.53736,0.08241,0.30493
Exp2,self,-39.06,0.57869,0.02168,0.31230
Exp2,self,-37.11,0.61847,-0.01028,0.33347
Exp2,self,-35.16,0.65330,-0.01611,0.36150
Exp2,self,-33.20,0.68110,-0.00327,0.39316
Exp2,self,-31.25,0.70254,0.01801,0.42835
Exp2,self,-29.30,0.71960,0.03828,0.46551
Exp2,self,-27.34,0.73392,0.05208,0.50069
Exp2,self,-25.39,0.74606,0.05936,0.53038
Exp2,self,-23.44,0.75635,0.06359,0.55295
Exp2,self,-21.48,0.76562,0.06847,0.56808
Exp2,self,-19.53,0.77400,0.07609,0.57548
Exp2,self,-17.58,0.77904,0.08858,0.57444
Exp2,self,-15.62,0.77534,0.11012,0.56445
Exp2,self,-13.67,0.75703,0.14508,0.54640
Exp2,self,-11.72,0.72109,0.19360,0.52288
Exp2,self,-9.77,0.66930,0.24948,0.49738
Exp2,self,-7.81,0.60687,0.30367,0.47279
Exp2,self,-5.86,0.53932,0.34972,0.45054
Exp2,self,-3.91,0.47106,0.38477,0.43009
Exp2,self,-1.95,0.40710,0.40674,0.40949
Exp2,self,0.00,0.35497,0.41146,0.38591
Exp2,self,1.95,0.32362,0.39349,0.35661
Exp2,self,3.91,0.31795,0.35188,0.32141
Exp2,self,5.86,0.33369,0.29463,0.28409
Exp2,self,7.81,0.36124,0.23374,0.24925
Exp2,self,9.77,0.39352,0.17703,0.21908
Exp2,self,11.72,0.42812,0.12658,0.19513
Exp2,self,13.67,0.46366,0.08259,0.17984
Exp2,self,15.62,0.49778,0.04572,0.17457
Exp2,self,17.58,0.52868,0.01733,0.17863
Exp2,self,19.53,0.55721,-0.00083,0.19043
Exp2,self,21.48,0.58606,-0.00777,0.20890
Exp2,self,23.44,0.61627,-0.00419,0.23336
Exp2,self,25.39,0.64411,0.00869,0.26144
Exp2,self,27.34,0.66173,0.02951,0.28770
Exp2,self,29.30,0.66223,0.05591,0.30586
Exp2,self,31.25,0.64423,0.08516,0.31342
Exp2,self,33.20,0.61171,0.11612,0.31420
Exp2,self,35.16,0.57121,0.14879,0.31539
Exp2,self,37.11,0.52861,0.18202,0.32078
Exp2,self,39.06,0.48688,0.21305,0.32720
Exp2,self,41.02,0.44609,0.23977,0.32721
Exp2,self,42.97,0.40442,0.26343,0.31534
Exp2,self,44.92,0.36006,0.28824,0.29273
Exp2,self,46.88,0.31436,0.31744,0.26626
Exp2,self,48.83,0.27316,0.34911,0.24311
Exp2,self,50.78,0.24464,0.37628,0.22660
Exp2,self,52.73,0.23406,0.39298,0.21764
Exp2,self,54.69,0.23899,0.40023,0.21670
Exp2,self,56.64,0.25008,0.40460,0.22229
Exp2,self,58.59,0.25761,0.41116,0.23011
Exp2,self,60.55,0.25704,0.41917,0.23487
Exp2,self,62.50,0.24817,0.42473,0.23291
Exp2,self,64.45,0.23146,0.42618,0.22376
Exp2,self,66.41,0.20741,0.42479,0.20982
Exp2,self,68.36,0.17793,0.42142,0.19417
Exp2,self,70.31,0.14673,0.41431,0.17880
Exp2,self,72.27,0.12041,0.40111,0.16606
Exp2,self,74.22,0.10887,0.38487,0.16086
Exp2,self,76.17,0.11918,0.37843,0.16887
Exp2,self,78.12,0.14752,0.39887,0.19256
Exp2,self,80.08,0.18333,0.45345,0.22966
Exp2,self,82.03,0.21906,0.53422,0.27347
Exp2,self,83.98,0.25138,0.62589,0.31454
Exp2,self,85.94,0.27623,0.71502,0.34402
Exp2,self,87.89,0.28627,0.79312,0.35798
Exp2,self,89.84,0.27496,0.85429,0.36031
Exp2,self,91.80,0.24485,0.89304,0.36145
Exp2,self,93.75,0.21271,0.90652,0.37240
Exp2,self,95.70,0.20199,0.89816,0.39775
Exp2,self,97.66,0.22664,0.87628,0.43399
Exp2,self,99.61,0.28310,0.84882,0.47359
Exp2,self,101.56,0.35586,0.82067,0.50930
Exp2,self,103.52,0.42750,0.79514,0.53739
Exp2,self,105.47,0.48634,0.77564,0.55864
Exp2,self,107.42,0.52879,0.76570,0.57690
Exp2,self,109.38,0.55634,0.76761,0.59636
Exp2,self,111.33,0.57116,0.78104,0.61914
Exp2,self,113.28,0.57348,0.80330,0.64439
Exp2,self,115.23,0.56194,0.83058,0.66933
Exp2,self,117.19,0.53493,0.85909,0.69107
Exp2,self,119.14,0.49237,0.88572,0.70807
Exp2,self,121.09,0.43709,0.90829,0.72019
Exp2,self,123.05,0.37452,0.92551,0.72805
Exp2,self,125.00,0.31068,0.93668,0.73209
Exp2,self,126.95,0.25083,0.94180,0.73242
Exp2,self,128.91,0.19953,0.94153,0.72896
Exp2,self,130.86,0.16054,0.93684,0.72131
Exp2,self,132.81,0.13565,0.92854,0.70864
Exp2,self,134.77,0.12424,0.91719,0.69068
Exp2,self,136.72,0.12433,0.90318,0.66874
Exp2,self,138.67,0.13353,0.88701,0.64543
Exp2,self,140.62,0.14934,0.86930,0.62354
Exp2,self,142.58,0.16880,0.85082,0.60496
Exp2,self,144.53,0.18881,0.83263,0.59017
Exp2,self,146.48,0.20685,0.81598,0.57829
Exp2,self,148.44,0.22181,0.80199,0.56767
Exp2,self,150.39,0.23395,0.79135,0.55671
Exp2,self,152.34,0.24461,0.78435,0.54444
Exp2,self,154.30,0.25549,0.78110,0.53091
Exp2,self,156.25,0.26802,0.78155,0.51714
Exp2,self,158.20,0.28318,0.78524,0.50466
Exp2,self,160.16,0.30099,0.79129,0.49492
Exp2,self,162.11,0.32030,0.79846,0.48879
Exp2,self,164.06,0.33930,0.80517,0.48599
Exp2,self,166.02,0.35650,0.80969,0.48500
Exp2,self,167.97,0.37115,0.81096,0.48369
Exp2,self,169.92,0.38327,0.80913,0.48065
Exp2,self,171.88,0.39349,0.80547,0.47621
Exp2,self,173.83,0.40293,0.80158,0.47200
Exp2,self,175.78,0.41302,0.79851,0.46933
Exp2,self,177.73,0.42444,0.79656,0.46852
Exp2,self,179.69,0.43671,0.79582,0.46994
Exp2,self,181.64,0.44882,0.79674,0.47439
Exp2,self,183.59,0.45998,0.79977,0.48187
Exp2,self,185.55,0.47007,0.80483,0.49039
Exp2,self,187.50,0.47922,0.81134,0.49690
Exp2,self,189.45,0.48679,0.81864,0.49947
Exp2,self,191.41,0.49115,0.82609,0.49866
Exp2,self,193.36,0.48999,0.83317,0.49674
Exp2,self,195.31,0.48043,0.83970,0.49652
Exp2,self,197.27,0.46046,0.84570,0.50060
Exp2,self,199.22,0.43120,0.85102,0.51040
Exp2,self,201.17,0.39702,0.85528,0.52542
Exp2,self,203.12,0.36304,0.85796,0.54373
Exp2,self,205.08,0.33236,0.85854,0.56272
Exp2,self,207.03,0.30561,0.85666,0.57992
Exp2,self,208.98,0.28240,0.85239,0.59387
Exp2,self,210.94,0.26269,0.84615,0.60453
Exp2,self,212.89,0.24712,0.83854,0.61303
Exp2,self,214.84,0.23707,0.83035,0.62105
Exp2,self,216.80,0.23399,0.82236,0.62964
Exp2,self,218.75,0.23779,0.81512,0.63856
Exp2,self,220.70,0.24636,0.80903,0.64717
Exp2,self,222.66,0.25632,0.80439,0.65506
Exp2,self,224.61,0.26457,0.80130,0.66233
Exp2,self,226.56,0.26992,0.79957,0.66945
Exp2,self,228.52,0.27399,0.79879,0.67708
Exp2,self,230.47,0.27961,0.79837,0.68572
Exp2,self,232.42,0.28882,0.79784,0.69571
Exp2,self,234.38,0.30180,0.79720,0.70707
Exp2,self,236.33,0.31704,0.79682,0.71917
Exp2,self,238.28,0.33230,0.79706,0.73088
Exp2,self,240.23,0.34637,0.79805,0.74139
Exp2,self,242.19,0.35961,0.79966,0.75060
Exp2,self,244.14,0.37304,0.80161,0.75874
Exp2,self,246.09,0.38726,0.80372,0.76606
Exp2,self,248.05,0.40165,0.80603,0.77250
Exp2,self,250.00,0.41403,0.80877,0.77751
Exp2,self,251.95,0.42141,0.81218,0.78028
Exp2,self,253.91,0.42228,0.81630,0.78052
Exp2,self,255.86,0.41836,0.82079,0.77892
Exp2,self,257.81,0.41370,0.82505,0.77687
Exp2,self,259.77,0.41236,0.82852,0.77583
Exp2,self,261.72,0.41670,0.83085,0.77664
Exp2,self,263.67,0.42664,0.83198,0.77915
Exp2,self,265.62,0.43994,0.83213,0.78253
Exp2,self,267.58,0.45336,0.83174,0.78573
Exp2,self,269.53,0.46413,0.83114,0.78793
Exp2,self,271.48,0.47125,0.83035,0.78885
Exp2,self,273.44,0.47576,0.82904,0.78870
Exp2,self,275.39,0.47966,0.82691,0.78787
Exp2,self,277.34,0.48463,0.82396,0.78648
Exp2,self,279.30,0.49128,0.82046,0.78429
Exp2,self,281.25,0.49897,0.81668,0.78068
Exp2,self,283.20,0.50602,0.81272,0.77492
Exp2,self,285.16,0.51028,0.80851,0.76666
Exp2,self,287.11,0.50998,0.80398,0.75675
Exp2,self,289.06,0.50467,0.79920,0.74704
Exp2,self,291.02,0.49525,0.79437,0.73937
Exp2,self,292.97,0.48291,0.78971,0.73458
Exp2,self,294.92,0.46783,0.78528,0.73214
Exp2,self,296.88,0.44915,0.78100,0.73037
Exp2,self,298.83,0.42600,0.77677,0.72722
Exp2,self,300.78,0.39839,0.77254,0.72091
Exp2,self,302.73,0.36750,0.76817,0.71007
Exp2,self,304.69,0.33555,0.76350,0.69397
Exp2,self,306.64,0.30520,0.75851,0.67290
Exp2,self,308.59,0.27883,0.75338,0.64818
Exp2,self,310.55,0.25844,0.74826,0.62156
Exp2,self,312.50,0.24574,0.74330,0.59452
Exp2,self,314.45,0.24186,0.73865,0.56802
Exp2,self,316.41,0.24682,0.73432,0.54245
Exp2,self,318.36,0.25879,0.73036,0.51782
Exp2,self,320.31,0.27471,0.72723,0.49426
Exp2,self,322.27,0.29185,0.72577,0.47238
Exp2,self,324.22,0.30854,0.72677,0.45308
Exp2,self,326.17,0.32396,0.73054,0.43731
Exp2,self,328.12,0.33846,0.73681,0.42599
Exp2,self,330.08,0.35436,0.74459,0.41997
Exp2,self,332.03,0.37590,0.75206,0.41978
Exp2,self,333.98,0.40703,0.75715,0.42534
Exp2,self,335.94,0.44823,0.75862,0.43578
Exp2,self,337.89,0.49562,0.75649,0.44951
Exp2,self,339.84,0.54327,0.75158,0.46456
Exp2,self,341.80,0.58579,0.74519,0.47943
Exp2,self,343.75,0.61984,0.73890,0.49368
Exp2,self,345.70,0.64480,0.73428,0.50803
Exp2,self,347.66,0.66274,0.73251,0.52371
Exp2,self,349.61,0.67673,0.73411,0.54120
Exp2,self,351.56,0.68878,0.73892,0.55938
Exp2,self,353.52,0.69921,0.74616,0.57609
Exp2,self,355.47,0.70709,0.75466,0.58915
Exp2,self,357.42,0.71133,0.76304,0.59701
Exp2,self,359.38,0.71139,0.77014,0.59906
Exp2,self,361.33,0.70751,0.77538,0.59575
Exp2,self,363.28,0.70022,0.77882,0.58816
Exp2,self,365.23,0.69000,0.78095,0.57766
Exp2,self,367.19,0.67763,0.78216,0.56581
Exp2,self,369.14,0.66430,0.78251,0.55419
Exp2,self,371.09,0.65091,0.78194,0.54377
Exp2,self,373.05,0.63741,0.78079,0.53523
Exp2,self,375.00,0.62253,0.77995,0.52928
Exp2,self,376.95,0.60423,0.78034,0.52633
Exp2,self,378.91,0.58123,0.78227,0.52644
Exp2,self,380.86,0.55432,0.78532,0.52967
Exp2,self,382.81,0.52536,0.78891,0.53618
Exp2,self,384.77,0.49503,0.79299,0.54580
Exp2,self,386.72,0.46278,0.79806,0.55794
Exp2,self,388.67,0.42890,0.80455,0.57154
