experiment,model,time_ms,a_audio,b_visual,R2
Exp1,attenuation,107.42,0.55922,0.31156,-0.10169
Exp1,attenuation,109.38,0.49300,0.33938,-0.17661
Exp1,attenuation,111.33,0.43900,0.33421,-0.26045
Exp1,attenuation,113.28,0.42857,0.26719,-0.33271
Exp1,attenuation,115.23,0.45306,0.16069,-0.36281
Exp1,attenuation,117.19,0.48309,0.07932,-0.32968
Exp1,attenuation,119.14,0.50464,0.05588,-0.23503
Exp1,attenuation,121.09,0.51744,0.07662,-0.09648
Exp1,attenuation,123.05,0.52118,0.11842,0.05415
Exp1,attenuation,125.00,0.51431,0.16619,0.18267
Exp1,attenuation,126.95,0.49934,0.20984,0.27121
Exp1,attenuation,128.91,0.48642,0.23927,0.32200
Exp1,attenuation,130.86,0.48649,0.24605,0.34605
Exp1,attenuation,132.81,0.49963,0.22963,0.35363
Exp1,attenuation,134.77,0.51450,0.19741,0.35071
Exp1,attenuation,136.72,0.51718,0.15855,0.33726
Exp1,attenuation,138.67,0.49884,0.11907,0.30797
Exp1,attenuation,140.62,0.45812,0.08136,0.25788
Exp1,attenuation,142.58,0.39873,0.04698,0.18977
Exp1,attenuation,144.53,0.32591,0.01944,0.11533
Exp1,attenuation,146.48,0.24645,0.00469,0.04969
Exp1,attenuation,148.44,0.17165,0.00833,0.00589
Exp1,attenuation,150.39,0.11653,0.03167,-0.00881
Exp1,attenuation,152.34,0.09176,0.06985,0.00554
Exp1,attenuation,154.30,0.09699,0.11375,0.04148
Exp1,attenuation,156.25,0.12445,0.15516,0.08711
Exp1,attenuation,158.20,0.16714,0.19095,0.13467
Exp1,attenuation,160.16,0.22214,0.22290,0.18486
Exp1,attenuation,162.11,0.28765,0.25540,0.24205
Exp1,attenuation,164.06,0.35854,0.29334,0.30689
Exp1,attenuation,166.02,0.42715,0.33870,0.37286
Exp1,attenuation,167.97,0.48777,0.38726,0.42877
Exp1,attenuation,169.92,0.53695,0.43094,0.46419
Exp1,attenuation,171.88,0.57059,0.46262,0.47424
Exp1,attenuation,173.83,0.58443,0.47838,0.46151
Exp1,attenuation,175.78,0.57764,0.47781,0.43441
Exp1,attenuation,177.73,0.55605,0.46431,0.40377
Exp1,attenuation,179.69,0.53167,0.44393,0.37857
Exp1,attenuation,181.64,0.51500,0.42259,0.36278
Exp1,attenuation,183.59,0.50761,0.40450,0.35641
Exp1,attenuation,185.55,0.50505,0.39225,0.35718
Exp1,attenuation,187.50,0.50387,0.38601,0.35973
Exp1,attenuation,189.45,0.50398,0.38260,0.35640
Exp1,attenuation,191.41,0.50664,0.37644,0.34187
Exp1,attenuation,193.36,0.51207,0.36334,0.31718
Exp1,attenuation,195.31,0.51904,0.34444,0.28949
Exp1,attenuation,197.27,0.52560,0.32652,0.26804
Exp1,attenuation,199.22,0.52976,0.31760,0.25848
Exp1,attenuation,201.17,0.53057,0.32156,0.26016
Exp1,attenuation,203.12,0.52773,0.33728,0.26849
Exp1,attenuation,205.08,0.52049,0.36056,0.27814
Exp1,attenuation,207.03,0.50941,0.38421,0.28465
Exp1,attenuation,208.98,0.49736,0.39929,0.28498
Exp1,attenuation,210.94,0.48809,0.40024,0.27867
Exp1,attenuation,212.89,0.48405,0.38826,0.26783
Exp1,attenuation,214.84,0.48607,0.36797,0.25489
Exp1,attenuation,216.80,0.49422,0.34253,0.24152
Exp1,attenuation,218.75,0.50812,0.31234,0.22937
Exp1,attenuation,220.70,0.52605,0.27760,0.21977
Exp1,attenuation,222.66,0.54502,0.24130,0.21258
Exp1,attenuation,224.61,0.56229,0.20861,0.20616
Exp1,attenuation,226.56,0.57660,0.18314,0.19902
Exp1,attenuation,228.52,0.58794,0.16488,0.19097
Exp1,attenuation,230.47,0.59697,0.15152,0.18338
Exp1,attenuation,232.42,0.60402,0.14142,0.17804
Exp1,attenuation,234.38,0.60804,0.13544,0.17600
Exp1,attenuation,236.33,0.60768,0.13535,0.17762
Exp1,attenuation,238.28,0.60245,0.14103,0.18305
Exp1,attenuation,240.23,0.59223,0.15031,0.19306
Exp1,attenuation,242.19,0.57727,0.16020,0.20950
Exp1,attenuation,244.14,0.55814,0.16811,0.23224
Exp1,attenuation,246.09,0.53531,0.17287,0.25520
Exp1,attenuation,248.05,0.50888,0.17448,0.26751
Exp1,attenuation,250.00,0.47826,0.17383,0.26034
Exp1,attenuation,251.95,0.44221,0.17367,0.23365
Exp1,attenuation,253.91,0.40073,0.17808,0.19684
Exp1,attenuation,255.86,0.35696,0.18878,0.16187
Exp1,attenuation,257.81,0.31584,0.20315,0.13439
Exp1,attenuation,259.77,0.28041,0.21725,0.11174
Exp1,attenuation,261.72,0.25036,0.22873,0.08818
Exp1,attenuation,263.67,0.22428,0.23712,0.05944
Exp1,attenuation,265.62,0.20135,0.24347,0.02422
Exp1,attenuation,267.58,0.18002,0.25049,-0.01461
Exp1,attenuation,269.53,0.15648,0.26196,-0.04976
Exp1,attenuation,271.48,0.12706,0.28092,-0.07354
Exp1,attenuation,273.44,0.09261,0.30702,-0.08290
Exp1,attenuation,275.39,0.05881,0.33584,-0.08055
Exp1,attenuation,277.34,0.03286,0.36144,-0.07221
Exp1,attenuation,279.30,0.02244,0.37943,-0.06315
Exp1,attenuation,281.25,0.03344,0.38852,-0.05615
Exp1,attenuation,283.20,0.06375,0.39103,-0.05123
Exp1,attenuation,285.16,0.10318,0.39185,-0.04639
Exp1,attenuation,287.11,0.14330,0.39501,-0.03934
Exp1,attenuation,289.06,0.18419,0.40072,-0.02927
Exp1,attenuation,291.02,0.23140,0.40550,-0.01721
Exp1,attenuation,292.97,0.28753,0.40518,-0.00472
Exp1,attenuation,294.92,0.34468,0.39774,0.00642
Exp1,attenuation,296.88,0.38535,0.38416,0.01320
Exp1,attenuation,298.83,0.39494,0.36703,0.01311
Exp1,attenuation,300.78,0.37467,0.34845,0.00800
Exp1,attenuation,302.73,0.34066,0.32917,0.00405
Exp1,attenuation,304.69,0.31044,0.30943,0.00778
Exp1,attenuation,306.64,0.29020,0.29064,0.02269
Exp1,attenuation,308.59,0.27338,0.27552,0.04649
Exp1,attenuation,310.55,0.25246,0.26460,0.07020
Exp1,attenuation,312.50,0.23186,0.25351,0.08462
Exp1,attenuation,314.45,0.22515,0.23574,0.08809
Exp1,attenuation,316.41,0.24325,0.20668,0.08788
Exp1,attenuation,318.36,0.28835,0.16527,0.09711
Exp1,attenuation,320.31,0.35473,0.11452,0.12804
Exp1,attenuation,322.27,0.43135,0.06195,0.18316
Exp1,attenuation,324.22,0.50519,0.01751,0.25036
Exp1,attenuation,326.17,0.56572,-0.01153,0.31017
Exp1,attenuation,328.12,0.60742,-0.02384,0.34854
Exp1,attenuation,330.08,0.62848,-0.02225,0.36094
Exp1,attenuation,332.03,0.62869,-0.01021,0.34893
Exp1,attenuation,333.98,0.60859,0.00963,0.31672
Exp1,attenuation,335.94,0.56934,0.03511,0.26966
Exp1,attenuation,337.89,0.51343,0.06398,0.21454
Exp1,attenuation,339.84,0.44619,0.09230,0.16008
Exp1,attenuation,341.80,0.37731,0.11273,0.11377
Exp1,attenuation,343.75,0.31906,0.11636,0.07813
Exp1,attenuation,345.70,0.27819,0.09984,0.05279
Exp1,attenuation,347.66,0.25177,0.07126,0.03790
Exp1,attenuation,349.61,0.23364,0.04710,0.03260
Exp1,attenuation,351.56,0.22037,0.04054,0.03374
Exp1,attenuation,353.52,0.21220,0.05157,0.03872
Exp1,attenuation,355.47,0.21411,0.06917,0.04701
Exp1,attenuation,357.42,0.23556,0.07997,0.05902
Exp1,attenuation,359.38,0.28316,0.07626,0.07561
Exp1,attenuation,361.33,0.34770,0.06099,0.09660
Exp1,attenuation,363.28,0.40627,0.04385,0.11775
Exp1,attenuation,365.23,0.44600,0.02866,0.13369
Exp1,attenuation,367.19,0.47329,0.00935,0.14366
Exp1,attenuation,369.14,0.49908,-0.01841,0.15157
Exp1,attenuation,371.09,0.52791,-0.04843,0.16225
Exp1,attenuation,373.05,0.55745,-0.06920,0.17726
Exp1,attenuation,375.00,0.57754,-0.07126,0.19169
Exp1,attenuation,376.95,0.57349,-0.05056,0.19589
Exp1,attenuation,378.91,0.54048,-0.01312,0.18390
Exp1,attenuation,380.86,0.48939,0.02823,0.15939
Exp1,attenuation,382.81,0.43356,0.06452,0.13056
Exp1,attenuation,384.77,0.37899,0.09226,0.10344
Exp1,attenuation,386.72,0.32782,0.10906,0.08076
Exp1,attenuation,388.67,0.28464,0.11329,0.06439
Exp1,attenuation,390.62,0.25674,0.10854,0.05668
Exp1,attenuation,392.58,0.24810,0.10415,0.05957
Exp1,attenuation,394.53,0.25621,0.10810,0.07342
Exp1,attenuation,396.48,0.27599,0.12139,0.09686
Exp1,attenuation,398.44,0.30389,0.13968,0.12623
Exp1,attenuation,400.39,0.33841,0.15791,0.15673
Exp1,attenuation,402.34,0.37852,0.17309,0.18534
Exp1,attenuation,404.30,0.42292,0.18373,0.21228
Exp1,attenuation,406.25,0.47012,0.18920,0.23966
Exp1,attenuation,408.20,0.51818,0.19089,0.26957
Exp1,attenuation,410.16,0.56357,0.19185,0.30284
Exp1,attenuation,412.11,0.60036,0.19469,0.33819
Exp1,attenuation,414.06,0.62089,0.20047,0.37162
Exp1,attenuation,416.02,0.61878,0.20891,0.39717
Exp1,attenuation,417.97,0.59287,0.21854,0.40841
Exp1,attenuation,419.92,0.54903,0.22663,0.40147
Exp1,attenuation,421.88,0.49713,0.22987,0.37757
Exp1,attenuation,423.83,0.44594,0.22561,0.34194
Exp1,attenuation,425.78,0.39982,0.21267,0.29967
Exp1,attenuation,427.73,0.35749,0.19133,0.25248
Exp1,attenuation,429.69,0.31394,0.16323,0.20034
Exp1,attenuation,431.64,0.26554,0.13109,0.14604
Exp1,attenuation,433.59,0.21379,0.09780,0.09625
Exp1,attenuation,435.55,0.16430,0.06673,0.05740
Exp1,attenuation,437.50,0.12225,0.04367,0.03113
Exp1,attenuation,439.45,0.08967,0.03620,0.01410
Exp1,attenuation,441.41,0.06886,0.04715,0.00294
Exp1,attenuation,443.36,0.06639,0.06981,-0.00158
Exp1,attenuation,445.31,0.08803,0.09236,0.00499
Exp1,attenuation,447.27,0.13081,0.10665,0.02667
Exp1,attenuation,449.22,0.18275,0.11295,0.06126
Exp1,attenuation,451.17,0.22917,0.11747,0.09960
Exp1,attenuation,453.12,0.25943,0.12598,0.13168
Exp1,attenuation,455.08,0.27055,0.14026,0.15252
Exp1,attenuation,457.03,0.26582,0.15879,0.16333
Exp1,attenuation,458.98,0.24983,0.17681,0.16719
Exp1,attenuation,460.94,0.22508,0.18741,0.16361
Exp1,attenuation,462.89,0.19254,0.18833,0.14948
Exp1,attenuation,464.84,0.15507,0.18210,0.12467
Exp1,attenuation,466.80,0.11836,0.17036,0.09286
Exp1,attenuation,468.75,0.08819,0.15349,0.05961
Exp1,attenuation,470.70,0.06733,0.13355,0.03116
Exp1,attenuation,472.66,0.05456,0.11545,0.01166
Exp1,attenuation,474.61,0.04446,0.10521,0.00131
Exp1,attenuation,476.56,0.02933,0.10693,-0.00136
Exp1,attenuation,478.52,0.00508,0.12133,0.00341
Exp1,attenuation,480.47,-0.02466,0.14590,0.01656
Exp1,attenuation,482.42,-0.05245,0.17498,0.03715
Exp1,attenuation,484.38,-0.07415,0.20101,0.06004
Exp1,attenuation,486.33,-0.09179,0.21736,0.07864
Exp1,attenuation,488.28,-0.11038,0.22080,0.08968
Exp1,attenuation,490.23,-0.13034,0.21272,0.09396
Exp1,attenuation,492.19,-0.14104,0.19891,0.09297
Exp1,attenuation,494.14,-0.12839,0.18554,0.08657
Exp1,attenuation,496.09,-0.09528,0.17410,0.07589
Exp1,attenuation,498.05,-0.06251,0.16191,0.06214
