experiment,model,subject,target_label,audio_label,visual_label,target_P1_uV,audioPlusVisual_P1_uV,D_P1_uV,target_N2_uV,audioPlusVisual_N2_uV,D_N2_uV,whole_epoch_R2,whole_epoch_RMSE_uV
Exp2,attenuation,Vp1,VAO-MVA,AO-MA,VO-MV,0.04543,1.77081,-1.72538,-2.54082,-4.94531,2.40448,-1.74060,2.41456
Exp2,attenuation,Vp2,VAO-MVA,AO-MA,VO-MV,0.88557,1.25337,-0.36780,1.33100,2.20988,-0.87888,-1.36569,2.05197
Exp2,attenuation,Vp3,VAO-MVA,AO-MA,VO-MV,1.84442,2.77758,-0.93316,1.69767,3.51859,-1.82092,-0.79731,1.93180
Exp2,attenuation,Vp4,VAO-MVA,AO-MA,VO-MV,-0.75049,-0.29661,-0.45387,0.43661,0.39675,0.03986,-0.05146,1.28158
Exp2,attenuation,Vp6,VAO-MVA,AO-MA,VO-MV,3.48154,1.13432,2.34722,4.30544,1.46753,2.83791,-1.20803,3.05634
Exp2,attenuation,Vp7,VAO-MVA,AO-MA,VO-MV,-1.41151,-2.25282,0.84132,-0.73038,-3.04104,2.31065,-2.68226,2.64403
Exp2,attenuation,Vp8,VAO-MVA,AO-MA,VO-MV,0.62900,1.98118,-1.35218,1.83349,3.13616,-1.30267,0.02452,1.93530
Exp2,attenuation,Vp9,VAO-MVA,AO-MA,VO-MV,-0.94601,-0.01111,-0.93490,-2.43810,-1.31604,-1.12206,-1.71506,2.58555
Exp2,attenuation,Vp10,VAO-MVA,AO-MA,VO-MV,-0.16653,2.62971,-2.79623,1.04754,0.50164,0.54590,-2.94201,2.37947
Exp2,attenuation,Vp12,VAO-MVA,AO-MA,VO-MV,0.55572,2.08335,-1.52764,0.45338,-0.21092,0.66431,-0.98299,1.64240
Exp2,attenuation,Vp13,VAO-MVA,AO-MA,VO-MV,-0.20714,-1.97623,1.76909,-0.98448,-3.48120,2.49672,-5.35854,2.61631
Exp2,attenuation,Vp14,VAO-MVA,AO-MA,VO-MV,1.20797,2.45939,-1.25142,-2.36178,1.20697,-3.56875,-1.38185,2.54140
Exp2,attenuation,Vp17,VAO-MVA,AO-MA,VO-MV,1.44498,4.29341,-2.84843,2.19125,0.11030,2.08095,-0.69331,2.38791
Exp2,attenuation,Vp20,VAO-MVA,AO-MA,VO-MV,-0.32423,2.03944,-2.36368,0.04299,1.02559,-0.98260,-1.59163,1.92618
Exp2,attenuation,Vp21,VAO-MVA,AO-MA,VO-MV,-1.24289,-4.41152,3.16863,-0.18216,-4.49463,4.31247,-4.29174,4.29773
Exp2,attenuation,Vp23,VAO-MVA,AO-MA,VO-MV,1.92803,1.93232,-0.00429,2.55859,3.10754,-0.54895,0.16497,1.07704
Exp2,attenuation,Vp24,VAO-MVA,AO-MA,VO-MV,2.31672,-2.90986,5.22658,0.28864,-1.68112,1.96976,-1.61761,4.30257
Exp2,attenuation,Vp25,VAO-MVA,AO-MA,VO-MV,-1.14522,0.04895,-1.19416,-1.07596,-3.23092,2.15496,-0.43227,3.16242
Exp2,attenuation,Vp26,VAO-MVA,AO-MA,VO-MV,0.80177,-0.72306,1.52483,0.06730,-2.78778,2.85507,-1.97196,1.76786
Exp2,attenuation,Vp27,VAO-MVA,AO-MA,VO-MV,0.19320,0.34188,-0.14868,0.59781,1.54986,-0.95205,-0.70023,1.42071
Exp2,attenuation,Vp28,VAO-MVA,AO-MA,VO-MV,0.11723,2.37186,-2.25463,-1.19850,0.80116,-1.99966,-5.81203,2.11493
Exp2,attenuation,Vp29,VAO-MVA,AO-MA,VO-MV,2.52897,4.67697,-2.14801,0.64851,3.79820,-3.14970,-0.91031,3.25723
Exp2,attenuation,Vp30,VAO-MVA,AO-MA,VO-MV,-0.42853,-0.58524,0.15672,1.12562,2.97078,-1.84515,-0.36872,1.67261
Exp2,attenuation,Vp31,VAO-MVA,AO-MA,VO-MV,3.10094,6.75197,-3.65102,0.28355,2.29658,-2.01303,-0.92602,2.68068
Exp2,attenuation,Vp32,VAO-MVA,AO-MA,VO-MV,0.63608,0.51239,0.12370,1.51402,0.70271,0.81132,-2.26414,2.39699
Exp2,attenuation,Vp33,VAO-MVA,AO-MA,VO-MV,1.57261,0.43019,1.14242,3.26896,0.18535,3.08361,-3.10527,3.30318
Exp2,attenuation,Vp34,VAO-MVA,AO-MA,VO-MV,1.53338,-2.35126,3.88464,0.35824,-5.54037,5.89861,-2.94079,3.97029
Exp2,attenuation,Vp35,VAO-MVA,AO-MA,VO-MV,-0.48938,0.31792,-0.80730,-0.43923,-1.73122,1.29199,-0.21965,1.91493
Exp2,attenuation,Vp36,VAO-MVA,AO-MA,VO-MV,1.60058,5.59361,-3.99303,1.48927,8.19354,-6.70427,-6.38198,4.44661
Exp2,attenuation,Vp38,VAO-MVA,AO-MA,VO-MV,-0.70236,-3.38859,2.68623,0.30083,-2.81218,3.11301,-4.01420,3.33823
