experiment,model,subject,target_label,audio_label,visual_label,a_audio,b_visual,R2_full,R2_static,R2_audio,R2_visual
Exp1,attenuation,Vp1,VAO-MVA,AO-MA,VO-MV,-0.13345,0.71139,0.51285,-1.69846,-0.29307,0.49724
Exp1,attenuation,Vp2,VAO-MVA,AO-MA,VO-MV,0.37772,0.19664,0.24293,-0.91951,0.21010,0.04363
Exp1,attenuation,Vp4,VAO-MVA,AO-MA,VO-MV,0.24857,0.25543,0.14389,-6.84233,-0.03078,0.07296
Exp1,attenuation,Vp5,VAO-MVA,AO-MA,VO-MV,0.07045,0.45810,0.20090,-1.78853,0.02909,0.19352
Exp1,attenuation,Vp6,VAO-MVA,AO-MA,VO-MV,0.63902,0.17672,0.36564,-1.12793,0.31176,-0.12599
Exp1,attenuation,Vp7,VAO-MVA,AO-MA,VO-MV,0.32558,0.44394,0.55686,-0.84227,0.34801,0.49747
Exp1,attenuation,Vp8,VAO-MVA,AO-MA,VO-MV,0.00731,0.40737,0.18367,-2.53233,-0.19650,0.18361
Exp1,attenuation,Vp10,VAO-MVA,AO-MA,VO-MV,0.71433,-0.32796,-0.15816,-5.14962,-0.40905,-0.37968
Exp1,attenuation,Vp11,VAO-MVA,AO-MA,VO-MV,0.25066,-0.05823,0.10990,-4.90423,0.09895,-0.04595
Exp1,attenuation,Vp12,VAO-MVA,AO-MA,VO-MV,0.56750,-0.29561,-0.21666,-5.50545,-0.42381,-0.52932
Exp1,attenuation,Vp13,VAO-MVA,AO-MA,VO-MV,0.25302,0.52356,-0.15761,-0.56308,-0.26279,-0.18622
Exp1,attenuation,Vp14,VAO-MVA,AO-MA,VO-MV,0.83422,0.55988,0.62523,0.39476,0.30957,0.32205
Exp1,attenuation,Vp15,VAO-MVA,AO-MA,VO-MV,0.24565,0.61386,0.39767,-1.03662,-0.23885,0.33743
Exp1,attenuation,Vp16,VAO-MVA,AO-MA,VO-MV,0.07704,0.51002,0.48475,-0.88965,-0.08159,0.48239
Exp1,attenuation,Vp17,VAO-MVA,AO-MA,VO-MV,0.25935,-0.15366,0.08936,-4.13239,0.05582,0.00493
Exp1,attenuation,Vp18,VAO-MVA,AO-MA,VO-MV,0.06012,0.46838,0.04152,-1.83078,-0.21937,0.03844
Exp1,attenuation,Vp19,VAO-MVA,AO-MA,VO-MV,0.66505,0.12399,0.20843,-1.41664,0.18174,0.06563
Exp1,attenuation,Vp20,VAO-MVA,AO-MA,VO-MV,0.52087,-0.58759,-0.51769,-4.51821,-0.95445,-0.69442
Exp1,attenuation,Vp22,VAO-MVA,AO-MA,VO-MV,0.22332,0.61776,-0.02839,-0.54327,-0.61475,-0.04937
Exp1,attenuation,Vp23,VAO-MVA,AO-MA,VO-MV,0.43825,0.09079,-0.28171,-2.03573,-0.29132,-0.41916
Exp1,attenuation,Vp24,VAO-MVA,AO-MA,VO-MV,0.05554,0.07244,-0.29584,-1.95272,-0.30056,-0.29918
Exp1,attenuation,Vp25,VAO-MVA,AO-MA,VO-MV,0.21414,0.45934,0.68015,-5.48012,0.37054,0.54453
