experiment,subject,a_audio,b_visual,R2_full,R2_static,R2_audio,R2_visual
Exp2,Vp1,1.06266,0.32820,0.96131,0.91793,0.95110,0.14091
Exp2,Vp2,1.54262,-0.03909,0.72155,0.64852,0.72144,0.33665
Exp2,Vp3,1.02382,1.14862,0.84777,0.84439,0.77974,0.62002
Exp2,Vp4,1.08647,1.08314,0.86570,0.85915,0.64399,0.48817
Exp2,Vp6,1.04740,-0.11058,0.61108,0.13188,0.60697,-0.09521
Exp2,Vp7,0.83710,1.03337,0.92946,0.90400,0.54360,0.29084
Exp2,Vp8,1.07354,0.60136,0.91493,0.88914,0.87863,0.69787
Exp2,Vp9,0.99587,0.58952,0.84072,0.78381,0.80717,0.71630
Exp2,Vp10,0.23206,1.65323,0.62294,-0.15083,0.20537,0.55233
Exp2,Vp12,1.12440,1.12781,0.73962,0.73005,0.41598,0.03890
Exp2,Vp13,0.60096,1.50569,0.60237,0.55540,0.41775,0.49693
Exp2,Vp14,1.26827,0.34402,0.88502,0.82430,0.87455,0.71691
Exp2,Vp17,0.71071,1.31784,0.91864,0.85031,0.30442,0.63404
Exp2,Vp20,0.96615,0.71473,0.82093,0.76730,0.49038,0.14018
Exp2,Vp21,1.19498,-0.96460,0.78905,0.68940,0.76503,-0.07215
Exp2,Vp23,0.89391,1.31458,0.92980,0.92578,0.86626,0.69846
Exp2,Vp24,0.94758,0.54990,0.60631,0.56391,0.56542,0.27760
Exp2,Vp25,0.94956,-0.59565,0.33857,0.04113,0.31800,0.00054
Exp2,Vp26,0.99593,0.21408,0.79667,0.68691,0.78960,0.15485
Exp2,Vp27,1.01262,0.83686,0.88012,0.87627,0.77878,0.22117
Exp2,Vp28,1.33202,0.07069,0.91717,0.61703,0.91552,0.28611
Exp2,Vp29,0.25356,0.65966,0.39773,-1.07545,-0.15462,0.25828
Exp2,Vp30,1.32389,0.05040,0.73539,0.65759,0.73517,0.24861
Exp2,Vp31,1.16802,0.11232,0.72291,0.38996,0.71885,0.32058
Exp2,Vp32,0.66219,1.43994,0.70648,0.68573,0.54941,0.62810
Exp2,Vp33,1.09820,0.01942,0.71962,0.48400,0.71954,0.05267
Exp2,Vp34,0.68023,0.52622,0.78297,0.51517,0.70331,0.24250
Exp2,Vp35,1.51433,0.84781,0.86873,0.81564,0.84729,0.68055
Exp2,Vp36,0.88371,0.35266,0.92322,0.81913,0.91060,0.31361
Exp2,Vp38,1.47412,0.37940,0.79503,0.74891,0.79079,0.40448
