experiment,time_ms,a_audio,b_visual,R2
Exp2,142.58,0.90727,0.67004,0.63961
Exp2,144.53,0.94981,0.71849,0.65239
Exp2,146.48,0.98598,0.76966,0.65480
Exp2,148.44,1.01907,0.81013,0.64901
Exp2,150.39,1.04985,0.83571,0.63774
Exp2,152.34,1.07755,0.84991,0.62362
Exp2,154.30,1.10119,0.85889,0.60845
Exp2,156.25,1.12059,0.86612,0.59240
Exp2,158.20,1.13653,0.86963,0.57406
Exp2,160.16,1.15029,0.86246,0.55166
Exp2,162.11,1.16298,0.83572,0.52448
Exp2,164.06,1.17485,0.78310,0.49338
Exp2,166.02,1.18495,0.70431,0.46076
Exp2,167.97,1.19151,0.60558,0.42948
Exp2,169.92,1.19274,0.49671,0.40154
Exp2,171.88,1.18760,0.38682,0.37737
Exp2,173.83,1.17544,0.28121,0.35554
Exp2,175.78,1.15487,0.18080,0.33353
Exp2,177.73,1.12288,0.08371,0.30973
Exp2,179.69,1.07565,-0.01167,0.28588
Exp2,181.64,1.01144,-0.10220,0.26804
Exp2,183.59,0.93404,-0.17758,0.26398
Exp2,185.55,0.85291,-0.22383,0.27847
Exp2,187.50,0.77870,-0.23103,0.31014
Exp2,189.45,0.71802,-0.19776,0.35306
Exp2,191.41,0.67226,-0.12938,0.40074
Exp2,193.36,0.64013,-0.03483,0.44896
Exp2,195.31,0.61977,0.07573,0.49564
Exp2,197.27,0.60923,0.19312,0.53992
Exp2,199.22,0.60644,0.31079,0.58165
Exp2,201.17,0.60957,0.42482,0.62116
Exp2,203.12,0.61760,0.53255,0.65892
Exp2,205.08,0.62998,0.63187,0.69519
Exp2,207.03,0.64615,0.72151,0.73018
Exp2,208.98,0.66545,0.80075,0.76404
Exp2,210.94,0.68741,0.86856,0.79623
Exp2,212.89,0.71167,0.92352,0.82527
Exp2,214.84,0.73768,0.96466,0.84940
Exp2,216.80,0.76461,0.99211,0.86745
Exp2,218.75,0.79160,1.00699,0.87903
Exp2,220.70,0.81815,1.01095,0.88439
